time	V(n001)	-I(V1)
Step Information: X=1  (Run: 1/5)
0.000000000000000e+000	-2.449213e-016	-4.898425e-020
2.050781250000000e-002	1.284933e-001	2.575369e-005
4.199218750000000e-002	2.607843e-001	5.262535e-005
6.347656250000000e-002	3.883304e-001	7.928639e-005
8.496093750000000e-002	5.088110e-001	1.056623e-004
1.064453125000000e-001	6.200339e-001	1.317194e-004
1.279296875000000e-001	7.199754e-001	1.574802e-004
1.494140625000000e-001	8.068172e-001	1.830385e-004
1.708984375000000e-001	8.789791e-001	2.085783e-004
1.923828125000000e-001	9.351483e-001	2.343955e-004
2.138671875000000e-001	9.743027e-001	2.609270e-004
2.353515625000000e-001	9.957299e-001	2.887904e-004
2.568359375000000e-001	9.990401e-001	3.188432e-004
2.783203125000000e-001	9.841731e-001	3.522727e-004
2.998046875000000e-001	9.513992e-001	3.907377e-004
3.193359375000000e-001	9.065616e-001	4.320393e-004
3.369140625000000e-001	8.545258e-001	4.764750e-004
3.525390625000000e-001	7.995071e-001	5.238378e-004
3.662109375000000e-001	7.450297e-001	5.732590e-004
3.798828125000000e-001	6.850579e-001	6.321863e-004
3.935546875000000e-001	6.200339e-001	7.028653e-004
4.072265625000000e-001	5.504372e-001	7.872418e-004
4.228515625000000e-001	4.659590e-001	8.998266e-004
4.384765625000000e-001	3.769932e-001	1.015808e-003
4.462890625000000e-001	3.310938e-001	1.061031e-003
4.521484375000000e-001	2.961397e-001	1.080004e-003
4.560546875000000e-001	2.726111e-001	1.081608e-003
4.599609375000000e-001	2.489182e-001	1.071534e-003
4.638671875000000e-001	2.250754e-001	1.047259e-003
4.677734375000000e-001	2.010971e-001	1.006428e-003
4.716796875000000e-001	1.769976e-001	9.471209e-004
4.736328125000000e-001	1.649069e-001	9.101286e-004
4.755859375000000e-001	1.527914e-001	8.681366e-004
4.775390625000000e-001	1.406530e-001	8.211457e-004
4.794921875000000e-001	1.284933e-001	7.692259e-004
4.814453125000000e-001	1.163142e-001	7.125181e-004
4.833984375000000e-001	1.041177e-001	6.512342e-004
4.853515625000000e-001	9.190550e-002	5.856541e-004
4.873046875000000e-001	7.967944e-002	5.161220e-004
4.892578125000000e-001	6.744138e-002	4.430412e-004
4.912109375000000e-001	5.519317e-002	3.668673e-004
4.931640625000000e-001	4.293664e-002	2.881007e-004
4.951171875000000e-001	3.067365e-002	2.072790e-004
4.970703125000000e-001	1.840604e-002	1.249686e-004
4.990234375000000e-001	6.135654e-003	4.175684e-005
5.009765625000000e-001	-6.135654e-003	-4.175684e-005
5.029296875000000e-001	-1.840604e-002	-1.249686e-004
5.048828125000000e-001	-3.067365e-002	-2.072790e-004
5.068359375000000e-001	-4.293664e-002	-2.881007e-004
5.087890625000000e-001	-5.519317e-002	-3.668673e-004
5.107421875000000e-001	-6.744138e-002	-4.430412e-004
5.126953125000000e-001	-7.967944e-002	-5.161220e-004
5.146484375000000e-001	-9.190550e-002	-5.856541e-004
5.166015625000000e-001	-1.041177e-001	-6.512342e-004
5.185546875000000e-001	-1.163142e-001	-7.125181e-004
5.205078125000000e-001	-1.284933e-001	-7.692259e-004
5.224609375000000e-001	-1.406530e-001	-8.211457e-004
5.244140625000000e-001	-1.527914e-001	-8.681366e-004
5.263671875000000e-001	-1.649069e-001	-9.101286e-004
5.283203125000000e-001	-1.769976e-001	-9.471209e-004
5.322265625000000e-001	-2.010971e-001	-1.006428e-003
5.361328125000000e-001	-2.250754e-001	-1.047259e-003
5.400390625000000e-001	-2.489182e-001	-1.071534e-003
5.439453125000000e-001	-2.726111e-001	-1.081608e-003
5.498046875000000e-001	-3.078381e-001	-1.075599e-003
5.556640625000000e-001	-3.426478e-001	-1.051395e-003
5.654296875000000e-001	-3.996091e-001	-9.883811e-004
5.791015625000000e-001	-4.767813e-001	-8.850475e-004
5.947265625000000e-001	-5.606405e-001	-7.743138e-004
6.083984375000000e-001	-6.296145e-001	-6.919648e-004
6.220703125000000e-001	-6.939453e-001	-6.231021e-004
6.357421875000000e-001	-7.531585e-001	-5.656669e-004
6.513671875000000e-001	-8.140057e-001	-5.111772e-004
6.669921875000000e-001	-8.670136e-001	-4.658823e-004
6.845703125000000e-001	-9.166446e-001	-4.231835e-004
7.060546875000000e-001	-9.620852e-001	-3.796290e-004
7.275390625000000e-001	-9.900209e-001	-3.427364e-004
7.490234375000000e-001	-9.999435e-001	-3.103692e-004
7.705078125000000e-001	-9.916724e-001	-2.810153e-004
7.919921875000000e-001	-9.653581e-001	-2.535888e-004
8.134765625000000e-001	-9.214793e-001	-2.273049e-004
8.349609375000000e-001	-8.608345e-001	-2.016001e-004
8.564453125000000e-001	-7.845271e-001	-1.760795e-004
8.779296875000000e-001	-6.939453e-001	-1.504800e-004
8.994140625000000e-001	-5.907375e-001	-1.246444e-004
9.208984375000000e-001	-4.767813e-001	-9.849992e-005
9.423828125000000e-001	-3.541502e-001	-7.204097e-005
9.638671875000000e-001	-2.250754e-001	-4.531371e-005
9.853515625000000e-001	-9.190550e-002	-1.840141e-005
9.990234375000000e-001	-6.135731e-003	-1.227176e-006
1.000000000000000e+000	0.000000e+000	3.851861e-038
Step Information: X=2  (Run: 2/5)
0.000000000000000e+000	-2.449213e-016	-4.898425e-020
1.025390625000000e-002	1.284933e-001	2.572611e-005
2.099609375000000e-002	2.607843e-001	5.238876e-005
3.173828125000000e-002	3.883304e-001	7.845779e-005
4.248046875000000e-002	5.088110e-001	1.036327e-004
5.322265625000000e-002	6.200339e-001	1.276160e-004
6.396484375000000e-002	7.199754e-001	1.501125e-004
7.470703125000000e-002	8.068172e-001	1.708274e-004
8.544921875000000e-002	8.789791e-001	1.894630e-004
9.619140625000000e-002	9.351483e-001	2.057142e-004
1.069335937500000e-001	9.743027e-001	2.192633e-004
1.176757812500000e-001	9.957299e-001	2.297740e-004
1.284179687500000e-001	9.990401e-001	2.368878e-004
1.391601562500000e-001	9.841731e-001	2.402233e-004
