time	V(n001)	-I(V1)
Step Information: X=1  (Run: 1/5)
0.000000000000000e+000	-2.449213e-016	-5.563419e-020
2.050781250000000e-002	1.284933e-001	2.927954e-005
4.199218750000000e-002	2.607843e-001	6.002420e-005
6.347656250000000e-002	3.883304e-001	9.094580e-005
8.496093750000000e-002	5.088110e-001	1.222171e-004
1.064453125000000e-001	6.200339e-001	1.541225e-004
1.279296875000000e-001	7.199754e-001	1.871185e-004
1.494140625000000e-001	8.068172e-001	2.219239e-004
1.708984375000000e-001	8.789791e-001	2.596665e-004
1.904296875000000e-001	9.307319e-001	2.980186e-004
2.080078125000000e-001	9.653581e-001	3.376239e-004
2.236328125000000e-001	9.862710e-001	3.789150e-004
2.373046875000000e-001	9.967828e-001	4.219502e-004
2.490234375000000e-001	9.999435e-001	4.662080e-004
2.587890625000000e-001	9.984380e-001	5.103665e-004
2.685546875000000e-001	9.931746e-001	5.637073e-004
2.763671875000000e-001	9.862710e-001	6.154220e-004
2.841796875000000e-001	9.769914e-001	6.781865e-004
2.900390625000000e-001	9.684856e-001	7.349934e-004
2.958984375000000e-001	9.586674e-001	8.029728e-004
3.017578125000000e-001	9.475499e-001	8.858766e-004
3.056640625000000e-001	9.394239e-001	9.520836e-004
3.095703125000000e-001	9.307319e-001	1.029668e-003
3.134765625000000e-001	9.214793e-001	1.121799e-003
3.173828125000000e-001	9.116717e-001	1.232884e-003
3.193359375000000e-001	9.065616e-001	1.297403e-003
3.212890625000000e-001	9.013149e-001	1.369219e-003
3.232421875000000e-001	8.959325e-001	1.449589e-003
3.251953125000000e-001	8.904152e-001	1.540055e-003
3.271484375000000e-001	8.847638e-001	1.642534e-003
3.291015625000000e-001	8.789791e-001	1.759419e-003
3.312988281250000e-001	8.723450e-001	1.906700e-003
3.334960937500000e-001	8.655096e-001	2.086129e-003
3.352050781250000e-001	8.600813e-001	2.248762e-003
3.369140625000000e-001	8.545540e-001	2.436675e-003
3.386230468750000e-001	8.489280e-001	2.655369e-003
3.404541015625000e-001	8.427954e-001	2.929858e-003
3.421630859375000e-001	8.369675e-001	3.235775e-003
3.438720703125000e-001	8.310430e-001	3.599053e-003
3.455810546875000e-001	8.250228e-001	4.031916e-003
3.468627929687500e-001	8.204451e-001	4.410174e-003
3.484497070312500e-001	8.147039e-001	4.950079e-003
3.501586914062500e-001	8.084304e-001	5.625984e-003
3.522338867187500e-001	8.006874e-001	6.567868e-003
3.561401367187500e-001	7.857440e-001	8.458077e-003
3.579711914062500e-001	7.785757e-001	9.206173e-003
3.586425781250000e-001	7.759216e-001	9.435795e-003
3.604125976562500e-001	7.688577e-001	9.910724e-003
3.621215820312500e-001	7.619444e-001	1.019784e-002
3.630981445312500e-001	7.579455e-001	1.029168e-002
3.650512695312500e-001	7.498698e-001	1.039475e-002
3.670043945312500e-001	7.416953e-001	1.041774e-002
3.709106445312500e-001	7.250126e-001	1.030253e-002
3.806762695312500e-001	6.814178e-001	9.731478e-003
4.021606445312500e-001	5.767267e-001	8.238943e-003
4.236450195312500e-001	4.615574e-001	6.593678e-003
4.458618164062500e-001	3.336366e-001	4.766237e-003
4.680786132812500e-001	1.992250e-001	2.846072e-003
4.898071289062500e-001	6.399985e-002	9.142836e-004
5.000610351562500e-001	-3.834941e-004	-5.478488e-006
5.193481445312500e-001	-1.212682e-001	-1.732403e-003
5.415649414062500e-001	-2.582004e-001	-3.688577e-003
5.547485351562500e-001	-3.372505e-001	-4.817864e-003
5.769653320312500e-001	-4.649577e-001	-6.642253e-003
5.974731445312500e-001	-5.748456e-001	-8.212061e-003
6.170043945312500e-001	-6.706808e-001	-9.577895e-003
6.267700195312500e-001	-7.149000e-001	-1.015694e-002
6.306762695312500e-001	-7.318432e-001	-1.027631e-002
6.326293945312500e-001	-7.401502e-001	-1.025715e-002
6.348266601562500e-001	-7.493895e-001	-1.015261e-002
6.365356445312500e-001	-7.564560e-001	-9.927677e-003
6.382446289062500e-001	-7.634352e-001	-9.554883e-003
6.399536132812500e-001	-7.703273e-001	-9.016649e-003
6.418457031250000e-001	-7.778532e-001	-8.241440e-003
6.464233398437500e-001	-7.956046e-001	-6.083065e-003
6.482543945312500e-001	-8.025214e-001	-5.309853e-003
6.498413085937500e-001	-8.084304e-001	-4.725127e-003
6.512451171875000e-001	-8.135903e-001	-4.275484e-003
6.528320312500000e-001	-8.193470e-001	-3.837379e-003
6.545410156250000e-001	-8.254557e-001	-3.437991e-003
6.562500000000000e-001	-8.314691e-001	-3.101924e-003
6.580810546875000e-001	-8.378060e-001	-2.799279e-003
6.600341796875000e-001	-8.444420e-001	-2.529739e-003
6.622314453125000e-001	-8.517533e-001	-2.278523e-003
6.639404296875000e-001	-8.573300e-001	-2.112555e-003
6.656494140625000e-001	-8.628079e-001	-1.967991e-003
6.685791015625000e-001	-8.719380e-001	-1.763781e-003
6.705322265625000e-001	-8.778797e-001	-1.646777e-003
6.724853515625000e-001	-8.836893e-001	-1.544168e-003
6.744384765625000e-001	-8.893657e-001	-1.453568e-003
6.763916015625000e-001	-8.949083e-001	-1.373066e-003
6.783447265625000e-001	-9.003160e-001	-1.301122e-003
