time	V(n001)	-I(V1)
Step Information: X=1  (Run: 1/5)
0.000000000000000e+000	-2.449213e-016	-8.205822e-020
2.050781250000000e-002	1.284933e-001	4.305585e-005
4.199218750000000e-002	2.607843e-001	8.742156e-005
6.347656250000000e-002	3.883304e-001	1.302813e-004
8.496093750000000e-002	5.088110e-001	1.709198e-004
1.064453125000000e-001	6.200339e-001	2.086939e-004
1.279296875000000e-001	7.199754e-001	2.430647e-004
1.494140625000000e-001	8.068172e-001	2.736397e-004
1.708984375000000e-001	8.789791e-001	3.002276e-004
1.923828125000000e-001	9.351483e-001	3.229153e-004
2.138671875000000e-001	9.743027e-001	3.421748e-004
2.353515625000000e-001	9.957299e-001	3.590227e-004
2.568359375000000e-001	9.990401e-001	3.752778e-004
2.783203125000000e-001	9.841731e-001	3.940504e-004
2.958984375000000e-001	9.586674e-001	4.150035e-004
3.095703125000000e-001	9.307319e-001	4.382945e-004
3.193359375000000e-001	9.065616e-001	4.612127e-004
3.271484375000000e-001	8.847638e-001	4.852388e-004
3.349609375000000e-001	8.608345e-001	5.165566e-004
3.408203125000000e-001	8.415233e-001	5.467436e-004
3.466796875000000e-001	8.210716e-001	5.849588e-004
3.525390625000000e-001	7.995071e-001	6.344133e-004
3.564453125000000e-001	7.845271e-001	6.760337e-004
3.603515625000000e-001	7.690744e-001	7.271308e-004
3.642578125000000e-001	7.531585e-001	7.910243e-004
3.662109375000000e-001	7.450297e-001	8.292444e-004
3.681640625000000e-001	7.367888e-001	8.727330e-004
3.701171875000000e-001	7.284369e-001	9.225786e-004
3.720703125000000e-001	7.199754e-001	9.801803e-004
3.740234375000000e-001	7.114054e-001	1.047363e-003
3.759765625000000e-001	7.027283e-001	1.126542e-003
3.779296875000000e-001	6.939453e-001	1.220975e-003
3.798828125000000e-001	6.850579e-001	1.335129e-003
3.818359375000000e-001	6.760672e-001	1.475257e-003
3.837890625000000e-001	6.669748e-001	1.650274e-003
3.857421875000000e-001	6.577820e-001	1.873101e-003
3.879394531250000e-001	6.473452e-001	2.181653e-003
3.894042968750000e-001	6.403020e-001	2.463143e-003
3.901367187500000e-001	6.367589e-001	2.630916e-003
3.913574218750000e-001	6.308285e-001	2.947957e-003
3.918457031250000e-001	6.284428e-001	3.098544e-003
