time	V(n001)	-I(V1)
Step Information: X=1  (Run: 1/5)
0.000000000000000e+000	-2.449213e-016	-1.310418e-019
2.050781250000000e-002	1.284933e-001	6.880918e-005
4.199218750000000e-002	2.607843e-001	1.400461e-004
6.347656250000000e-002	3.883304e-001	2.095663e-004
8.496093750000000e-002	5.088110e-001	2.765800e-004
1.064453125000000e-001	6.200339e-001	3.404101e-004
1.279296875000000e-001	7.199754e-001	4.005401e-004
1.494140625000000e-001	8.068172e-001	4.566707e-004
1.708984375000000e-001	8.789791e-001	5.087943e-004
1.923828125000000e-001	9.351483e-001	5.572927e-004
2.138671875000000e-001	9.743027e-001	6.030734e-004
2.353515625000000e-001	9.957299e-001	6.477677e-004
2.568359375000000e-001	9.990401e-001	6.940473e-004
2.783203125000000e-001	9.841731e-001	7.462009e-004
2.958984375000000e-001	9.586674e-001	7.980877e-004
3.095703125000000e-001	9.307319e-001	8.485069e-004
3.193359375000000e-001	9.065616e-001	8.928808e-004
3.271484375000000e-001	8.847638e-001	9.355592e-004
3.349609375000000e-001	8.608345e-001	9.870518e-004
3.408203125000000e-001	8.415233e-001	1.033491e-003
3.466796875000000e-001	8.210716e-001	1.089021e-003
3.525390625000000e-001	7.995071e-001	1.156941e-003
3.564453125000000e-001	7.845271e-001	1.211550e-003
3.603515625000000e-001	7.690744e-001	1.276196e-003
3.642578125000000e-001	7.531585e-001	1.354197e-003
3.662109375000000e-001	7.450297e-001	1.399673e-003
3.681640625000000e-001	7.367888e-001	1.450544e-003
3.701171875000000e-001	7.284369e-001	1.507885e-003
3.720703125000000e-001	7.199754e-001	1.573076e-003
3.740234375000000e-001	7.114054e-001	1.647912e-003
3.759765625000000e-001	7.027283e-001	1.734768e-003
3.779296875000000e-001	6.939453e-001	1.836833e-003
3.798828125000000e-001	6.850579e-001	1.958480e-003
3.818359375000000e-001	6.760672e-001	2.105809e-003
3.837890625000000e-001	6.669748e-001	2.287508e-003
3.857421875000000e-001	6.577820e-001	2.516145e-003
3.879394531250000e-001	6.473452e-001	2.830060e-003
3.894042968750000e-001	6.403020e-001	3.113403e-003
3.901367187500000e-001	6.367589e-001	3.281465e-003
3.913574218750000e-001	6.308285e-001	3.598121e-003
3.928222656250000e-001	6.236596e-001	4.070755e-003
3.939208984375000e-001	6.182496e-001	4.495879e-003
3.947753906250000e-001	6.140208e-001	4.875228e-003
3.956298828125000e-001	6.097744e-001	5.294592e-003
3.973388671875000e-001	6.012288e-001	6.221133e-003
3.990478515625000e-001	5.926140e-001	7.145985e-003
3.999023437500000e-001	5.882809e-001	7.548803e-003
4.007568359375000e-001	5.839307e-001	7.886435e-003
4.012451171875000e-001	5.814354e-001	8.038102e-003
4.022216796875000e-001	5.764242e-001	8.260874e-003
4.041748046875000e-001	5.663428e-001	8.509081e-003
4.061279296875000e-001	5.561869e-001	8.580995e-003
4.080810546875000e-001	5.459472e-001	8.534297e-003
4.139404296875000e-001	5.147411e-001	8.183399e-003
4.334716796875000e-001	4.059271e-001	6.779261e-003
4.432373046875000e-001	3.491244e-001	6.032857e-003
4.490966796875000e-001	3.143981e-001	5.563571e-003
4.549560546875000e-001	2.792457e-001	5.071397e-003
4.588623046875000e-001	2.555976e-001	4.727031e-003
4.627685546875000e-001	2.317955e-001	4.366969e-003
4.666748046875000e-001	2.078539e-001	3.988988e-003
4.705810546875000e-001	1.837870e-001	3.591223e-003
4.725341796875000e-001	1.717111e-001	3.384507e-003
4.744873046875000e-001	1.596093e-001	3.172451e-003
4.764404296875000e-001	1.474836e-001	2.955045e-003
4.783935546875000e-001	1.353356e-001	2.732345e-003
4.803466796875000e-001	1.231672e-001	2.504478e-003
4.822998046875000e-001	1.109803e-001	2.271643e-003
4.842529296875000e-001	9.877669e-002	2.034108e-003
4.862060546875000e-001	8.655819e-002	1.792207e-003
4.881591796875000e-001	7.432666e-002	1.546338e-003
4.901123046875000e-001	6.208393e-002	1.296954e-003
4.920654296875000e-001	4.983185e-002	1.044557e-003
4.940185546875000e-001	3.757227e-002	7.896913e-004
4.959716796875000e-001	2.530703e-002	5.329348e-004
4.979248046875000e-001	1.303798e-002	2.748902e-004
4.998779296875000e-001	7.669616e-004	1.617740e-005
5.018310546875000e-001	-1.150417e-002	-2.425748e-004
5.037841796875000e-001	-2.377357e-002	-5.007371e-004
5.057373046875000e-001	-3.603939e-002	-7.576880e-004
5.076904296875000e-001	-4.829977e-002	-1.012822e-003
5.096435546875000e-001	-6.055289e-002	-1.265558e-003
5.115966796875000e-001	-7.279689e-002	-1.515347e-003
5.135498046875000e-001	-8.502992e-002	-1.761681e-003
5.155029296875000e-001	-9.725015e-002	-2.004101e-003
5.174560546875000e-001	-1.094557e-001	-2.242202e-003
5.194091796875000e-001	-1.216448e-001	-2.475641e-003
5.213623046875000e-001	-1.338156e-001	-2.704141e-003
5.233154296875000e-001	-1.459662e-001	-2.927495e-003
5.252685546875000e-001	-1.580949e-001	-3.145568e-003
5.272216796875000e-001	-1.701997e-001	-3.358293e-003
5.291748046875000e-001	-1.822789e-001	-3.565673e-003
5.330810546875000e-001	-2.063532e-001	-3.964724e-003
5.369873046875000e-001	-2.303031e-001	-4.343892e-003
5.408935546875000e-001	-2.541144e-001	-4.705011e-003
5.447998046875000e-001	-2.777725e-001	-5.050290e-003
5.506591796875000e-001	-3.129416e-001	-5.543567e-003
5.565185546875000e-001	-3.476866e-001	-6.013678e-003
5.662841796875000e-001	-4.045248e-001	-6.761023e-003
5.858154296875000e-001	-5.134254e-001	-8.163501e-003
5.897216796875000e-001	-5.343294e-001	-8.401314e-003
5.916748046875000e-001	-5.446614e-001	-8.476785e-003
5.936279296875000e-001	-5.549114e-001	-8.469090e-003
5.958251953125000e-001	-5.663635e-001	-8.326014e-003
5.972900390625000e-001	-5.739241e-001	-8.009711e-003
5.983886718750000e-001	-5.795639e-001	-7.640924e-003
5.992431640625000e-001	-5.839307e-001	-7.274360e-003
6.007080078125000e-001	-5.913782e-001	-6.528171e-003
6.026611328125000e-001	-6.012288e-001	-5.471694e-003
6.040039062500000e-001	-6.079494e-001	-4.813443e-003
6.052246093750000e-001	-6.140208e-001	-4.298910e-003
6.066894531250000e-001	-6.212585e-001	-3.788013e-003
6.074218750000000e-001	-6.248565e-001	-3.572692e-003
6.086425781250000e-001	-6.308285e-001	-3.256167e-003
6.091308593750000e-001	-6.332038e-001	-3.148854e-003
6.101074218750000e-001	-6.379319e-001	-2.959764e-003
6.120605468750000e-001	-6.473216e-001	-2.643738e-003
6.140136718750000e-001	-6.566258e-001	-2.389383e-003
6.159667968750000e-001	-6.658311e-001	-2.188876e-003
6.179199218750000e-001	-6.749362e-001	-2.027540e-003
6.198730468750000e-001	-6.839396e-001	-1.895255e-003
6.218261718750000e-001	-6.928401e-001	-1.784954e-003
6.237792968750000e-001	-7.016362e-001	-1.691606e-003
6.257324218750000e-001	-7.103266e-001	-1.611565e-003
6.276855468750000e-001	-7.189100e-001	-1.542140e-003
6.296386718750000e-001	-7.273852e-001	-1.481305e-003
6.315917968750000e-001	-7.357509e-001	-1.427516e-003
6.335449218750000e-001	-7.440057e-001	-1.379575e-003
6.354980468750000e-001	-7.521485e-001	-1.336538e-003
6.394042968750000e-001	-7.680931e-001	-1.262326e-003
6.433105468750000e-001	-7.835750e-001	-1.200444e-003
6.472167968750000e-001	-7.985849e-001	-1.147905e-003
6.530761718750000e-001	-8.201951e-001	-1.082228e-003
6.589355468750000e-001	-8.406937e-001	-1.028265e-003
6.647949218750000e-001	-8.600530e-001	-9.829586e-004
6.726074218750000e-001	-8.840480e-001	-9.325425e-004
6.823730468750000e-001	-9.110404e-001	-8.811941e-004
