time	V(n001)	-I(V1)
Step Information: X=1  (Run: 1/5)
0.000000000000000e+000	0.000000e+000	0.000000e+000
1.081420097034425e-002	6.789471e-002	4.765155e-005
2.253295097034425e-002	1.411049e-001	9.991590e-005
3.327513847034425e-002	2.075521e-001	1.490639e-004
4.304076347034425e-002	2.671463e-001	1.954720e-004
5.280638847034425e-002	3.257351e-001	2.444097e-004
6.159545097034425e-002	3.774229e-001	2.916503e-004
6.940795097034425e-002	4.224065e-001	3.373217e-004
7.624388847034425e-002	4.609360e-001	3.812913e-004
8.307982597034425e-002	4.986152e-001	4.304974e-004
8.893920097034425e-002	5.301823e-001	4.784616e-004
9.382201347034425e-002	5.559412e-001	5.240373e-004
9.870482597034425e-002	5.811768e-001	5.765429e-004
1.026110759703443e-001	6.009725e-001	6.252257e-004
1.065173259703443e-001	6.204063e-001	6.818728e-004
1.094470134703443e-001	6.347370e-001	7.312010e-004
1.123767009703443e-001	6.488526e-001	7.881728e-004
1.153063884703443e-001	6.627485e-001	8.550561e-004
1.182360759703443e-001	6.764197e-001	9.350773e-004
1.201892009703443e-001	6.854067e-001	9.979755e-004
1.221423259703443e-001	6.942906e-001	1.070726e-003
1.240954509703443e-001	7.030700e-001	1.155965e-003
1.260485759703443e-001	7.117434e-001	1.257320e-003
1.270251384703443e-001	7.160400e-001	1.315560e-003
1.280017009703443e-001	7.203096e-001	1.379901e-003
1.289782634703443e-001	7.245522e-001	1.451344e-003
1.299548259703443e-001	7.287675e-001	1.531113e-003
1.309313884703443e-001	7.329552e-001	1.620712e-003
1.319079509703443e-001	7.371155e-001	1.722011e-003
1.328845134703443e-001	7.412480e-001	1.837347e-003
1.338610759703443e-001	7.453525e-001	1.969677e-003
1.348376384703443e-001	7.494290e-001	2.122771e-003
1.358142009703443e-001	7.534773e-001	2.301476e-003
1.367907634703443e-001	7.574972e-001	2.512077e-003
1.377673259703443e-001	7.614886e-001	2.762747e-003
1.388659587828443e-001	7.659516e-001	3.090152e-003
1.397204509703443e-001	7.693923e-001	3.410513e-003
1.405749431578443e-001	7.728106e-001	3.792719e-003
1.414294353453443e-001	7.762069e-001	4.250569e-003
1.422839275328443e-001	7.795806e-001	4.798993e-003
1.430163494078443e-001	7.824547e-001	5.350770e-003
1.438708415953443e-001	7.857867e-001	6.097876e-003
1.448474040953443e-001	7.895668e-001	7.074804e-003
1.468005290953443e-001	7.970380e-001	9.150375e-003
1.477160564390943e-001	8.004990e-001	9.981376e-003
1.486926189390943e-001	8.041611e-001	1.066324e-002
1.497912517515943e-001	8.082444e-001	1.117970e-002
1.512560955015943e-001	8.136231e-001	1.156665e-002
1.532092205015943e-001	8.206962e-001	1.184389e-002
1.590685955015943e-001	8.411698e-001	1.220996e-002
1.805529705015943e-001	9.062924e-001	1.316716e-002
2.030139080015943e-001	9.567285e-001	1.391495e-002
2.254748455015943e-001	9.881414e-001	1.439207e-002
2.479357830015943e-001	9.999065e-001	1.459043e-002
2.703967205015943e-001	9.917899e-001	1.450788e-002
2.928576580015943e-001	9.639529e-001	1.414837e-002
3.143420330015943e-001	9.193800e-001	1.355476e-002
3.328967205015943e-001	8.673856e-001	1.285680e-002
3.494982830015943e-001	8.108582e-001	1.209760e-002
3.651232830015943e-001	7.495915e-001	1.127744e-002
3.787951580015943e-001	6.900394e-001	1.048478e-002
3.924670330015943e-001	6.253984e-001	9.631006e-003
4.061389080015943e-001	5.561453e-001	8.724939e-003
4.217639080015943e-001	4.720078e-001	7.634617e-003
4.393420330015943e-001	3.719617e-001	6.335597e-003
4.471545330015943e-001	3.259672e-001	5.722004e-003
4.530139080015943e-001	2.909498e-001	5.238335e-003
4.578967205015943e-001	2.614654e-001	4.814520e-003
4.618029705015943e-001	2.376994e-001	4.458665e-003
4.657092205015943e-001	2.137902e-001	4.085393e-003
4.696154705015943e-001	1.897523e-001	3.692710e-003
4.725451580015943e-001	1.716480e-001	3.384577e-003
4.754748455015943e-001	1.534855e-001	3.064412e-003
4.784045330015943e-001	1.352711e-001	2.732237e-003
4.813342205015943e-001	1.170108e-001	2.388423e-003
4.842639080015943e-001	9.871083e-002	2.033704e-003
4.871935955015943e-001	8.037746e-002	1.669158e-003
4.901232830015943e-001	6.201684e-002	1.296176e-003
4.930529705015943e-001	4.363520e-002	9.164189e-004
4.959826580015943e-001	2.523879e-002	5.317534e-004
4.989123455015943e-001	6.833817e-003	1.441962e-004
5.008654705015943e-001	-5.437834e-003	-1.147453e-004
5.037951580015943e-001	-2.384320e-002	-5.024364e-004
5.067248455015943e-001	-4.224048e-002	-8.873926e-004
5.096545330015943e-001	-6.062345e-002	-1.267589e-003
5.125842205015943e-001	-7.898588e-002	-1.641144e-003
5.155139080015943e-001	-9.732155e-002	-2.006382e-003
5.184435955015943e-001	-1.156242e-001	-2.361887e-003
5.213732830015943e-001	-1.338878e-001	-2.706557e-003
5.243029705015943e-001	-1.521059e-001	-3.039632e-003
5.272326580015943e-001	-1.702725e-001	-3.360714e-003
5.301623455015943e-001	-1.883814e-001	-3.669753e-003
5.340685955015943e-001	-2.124263e-001	-4.063590e-003
5.379748455015943e-001	-2.363432e-001	-4.437919e-003
5.428576580015943e-001	-2.660375e-001	-4.881426e-003
5.477404705015943e-001	-2.954813e-001	-5.301996e-003
5.535998455015943e-001	-3.304445e-001	-5.782637e-003
5.623889080015943e-001	-3.820349e-001	-6.467824e-003
5.838732830015943e-001	-5.029305e-001	-8.033611e-003
5.926623455015943e-001	-5.498699e-001	-8.607596e-003
5.955920330015943e-001	-5.651508e-001	-8.707291e-003
5.975451580015943e-001	-5.752320e-001	-8.651099e-003
5.985217205015943e-001	-5.802401e-001	-8.548430e-003
5.994982830015943e-001	-5.852265e-001	-8.372372e-003
6.005969158140943e-001	-5.908152e-001	-8.090850e-003
6.016955486265943e-001	-5.963699e-001	-7.658435e-003
6.025500408140943e-001	-6.006709e-001	-7.243580e-003
6.042590251890943e-001	-6.092210e-001	-6.288101e-003
6.059680095640943e-001	-6.177008e-001	-5.332774e-003
6.068225017515943e-001	-6.219141e-001	-4.902201e-003
6.076769939390943e-001	-6.261095e-001	-4.513965e-003
6.085314861265943e-001	-6.302867e-001	-4.169171e-003
6.090197673765943e-001	-6.326634e-001	-3.995728e-003
6.099963298765943e-001	-6.374002e-001	-3.682289e-003
6.109728923765943e-001	-6.421161e-001	-3.407012e-003
6.119494548765943e-001	-6.468077e-001	-3.169983e-003
6.129260173765943e-001	-6.514750e-001	-2.965280e-003
6.139025798765943e-001	-6.561178e-001	-2.787705e-003
6.148791423765943e-001	-6.607358e-001	-2.632850e-003
6.158557048765943e-001	-6.653290e-001	-2.497046e-003
6.168322673765943e-001	-6.698972e-001	-2.377268e-003
6.178088298765943e-001	-6.744401e-001	-2.271028e-003
6.187853923765943e-001	-6.789576e-001	-2.176281e-003
6.197619548765943e-001	-6.834496e-001	-2.091343e-003
6.207385173765943e-001	-6.879158e-001	-2.014821e-003
6.226916423765943e-001	-6.967704e-001	-1.882597e-003
6.246447673765943e-001	-7.055202e-001	-1.772454e-003
6.265978923765943e-001	-7.141635e-001	-1.679320e-003
6.285510173765943e-001	-7.226995e-001	-1.599525e-003
6.314807048765943e-001	-7.352988e-001	-1.499111e-003
6.344103923765943e-001	-7.476490e-001	-1.416283e-003
6.373400798765943e-001	-7.597458e-001	-1.346669e-003
6.412463298765943e-001	-7.754739e-001	-1.269287e-003
6.451525798765943e-001	-7.907348e-001	-1.205154e-003
6.500353923765943e-001	-8.091401e-001	-1.138711e-003
6.549182048765943e-001	-8.267838e-001	-1.083609e-003
6.607775798765943e-001	-8.469278e-001	-1.028533e-003
6.676135173765943e-001	-8.689765e-001	-9.755127e-004
6.754260173765943e-001	-8.922101e-001	-9.256956e-004
6.851916423765943e-001	-9.182236e-001	-8.749623e-004
6.969103923765943e-001	-9.448700e-001	-8.258558e-004
7.115588298765943e-001	-9.709633e-001	-7.764838e-004
7.320666423765943e-001	-9.936491e-001	-7.209880e-004
7.545275798765943e-001	-9.995860e-001	-6.698144e-004
7.769885173765943e-001	-9.856475e-001	-6.225064e-004
7.906603923765943e-001	-9.675338e-001	-5.938869e-004
8.131213298765943e-001	-9.223698e-001	-5.453656e-004
8.355822673765943e-001	-8.588659e-001	-4.936031e-004
8.580432048765943e-001	-7.782845e-001	-4.377295e-004
8.805041423765943e-001	-6.822281e-001	-3.774556e-004
9.029650798765943e-001	-5.726066e-001	-3.129173e-004
9.254260173765943e-001	-4.515996e-001	-2.445641e-004
9.478869548765943e-001	-3.216132e-001	-1.730751e-004
9.703478923765943e-001	-1.852320e-001	-9.929323e-005
9.918322673765943e-001	-5.129637e-002	-2.745090e-005
9.996447673765943e-001	-2.231978e-003	-1.194262e-006
1.000000000000000e+000	-2.449213e-016	-1.310495e-019
Step Information: X=2  (Run: 2/5)
0.000000000000000e+000	0.000000e+000	0.000000e+000
6.399999818995639e-008	8.042477e-007	5.629734e-010
8.825069235172123e-003	1.106709e-001	7.773984e-005
1.859069423517212e-002	2.314961e-001	1.646129e-004
2.737975673517212e-002	3.373127e-001	2.445576e-004
3.568053798517212e-002	4.334975e-001	3.228958e-004
4.300475673517212e-002	5.144860e-001	3.958552e-004
4.935241298517212e-002	5.811768e-001	4.636997e-004
5.521178798517212e-002	6.394663e-001	5.321139e-004
6.009460048517212e-002	6.854067e-001	5.953545e-004
6.448913173517212e-002	7.245522e-001	6.591992e-004
6.839538173517212e-002	7.574972e-001	7.236393e-004
7.181335048517212e-002	7.848297e-001	7.881738e-004
7.523131923517212e-002	8.107145e-001	8.631161e-004
7.816100673517212e-002	8.317131e-001	9.386226e-004
8.060241298517212e-002	8.483520e-001	1.012255e-003
8.304381923517212e-002	8.641925e-001	1.098882e-003
8.499694423517212e-002	8.762800e-001	1.180477e-003
8.695006923517212e-002	8.878396e-001	1.276445e-003
8.890319423517212e-002	8.988644e-001	1.391342e-003
9.036803798517212e-002	9.067780e-001	1.493803e-003
9.183288173517212e-002	9.143844e-001	1.614477e-003
