time	V(n001)	-I(V1)
Step Information: X=1  (Run: 1/5)
0.000000000000000e+000	0.000000e+000	0.000000e+000
2.057982597034425e-002	1.289456e-001	1.845943e-005
4.304076347034425e-002	2.671463e-001	3.851661e-005
6.550170097034425e-002	4.000352e-001	5.839330e-005
8.796263847034425e-002	5.249699e-001	7.801867e-005
1.104235759703443e-001	6.394663e-001	9.734873e-005
1.328845134703443e-001	7.412480e-001	1.163712e-004
1.553454509703443e-001	8.282908e-001	1.351056e-004
1.778063884703443e-001	8.988644e-001	1.535948e-004
2.002673259703443e-001	9.515653e-001	1.718858e-004
2.227282634703443e-001	9.853456e-001	1.899949e-004
2.451892009703443e-001	9.995338e-001	2.078552e-004
2.676501384703443e-001	9.938476e-001	2.252437e-004
2.725329509703443e-001	9.899851e-001	2.289216e-004
2.940173259703443e-001	9.619889e-001	2.444015e-004
3.145251384703443e-001	9.189268e-001	2.575254e-004
3.340563884703443e-001	8.637367e-001	2.675443e-004
3.535876384703443e-001	7.955554e-001	2.738077e-004
3.711657634703443e-001	7.239282e-001	2.747526e-004
3.858142009703443e-001	6.574596e-001	2.708957e-004
3.994860759703443e-001	5.903890e-001	2.624159e-004
4.112048259703443e-001	5.294148e-001	2.506277e-004
4.219470134703443e-001	4.709932e-001	2.356142e-004
4.317126384703443e-001	4.160142e-001	2.181362e-004
4.414782634703443e-001	3.594695e-001	1.968137e-004
4.502673259703443e-001	3.074162e-001	1.742946e-004
4.590563884703443e-001	2.544257e-001	1.487153e-004
4.678454509703443e-001	2.006595e-001	1.203110e-004
4.756579509703443e-001	1.523486e-001	9.300018e-005
4.834704509703443e-001	1.036706e-001	6.412882e-005
4.912829509703443e-001	5.474294e-002	3.414491e-005
4.990954509703443e-001	5.683365e-003	3.556192e-006
5.030017009703443e-001	-1.885895e-002	-1.179631e-005
5.108142009703443e-001	-6.789471e-002	-4.227496e-005
5.186267009703443e-001	-1.167669e-001	-7.200801e-005
5.264392009703443e-001	-1.653578e-001	-1.005015e-004
5.342517009703443e-001	-2.135504e-001	-1.273271e-004
5.430407634703443e-001	-2.671463e-001	-1.550866e-004
5.518298259703443e-001	-3.199278e-001	-1.799516e-004
5.606188884703443e-001	-3.717338e-001	-2.017217e-004
5.655017009703443e-001	-4.000352e-001	-2.124509e-004
5.752673259703443e-001	-4.554822e-001	-2.310117e-004
5.860095134703443e-001	-5.144860e-001	-2.471395e-004
5.977282634703443e-001	-5.761726e-001	-2.600182e-004
6.104235759703443e-001	-6.394663e-001	-2.690761e-004
6.250720134703443e-001	-7.074200e-001	-2.742151e-004
6.416735759703443e-001	-7.771659e-001	-2.745693e-004
6.612048259703443e-001	-8.483520e-001	-2.694690e-004
6.807360759703443e-001	-9.067780e-001	-2.602230e-004
7.012438884703443e-001	-9.534336e-001	-2.476107e-004
7.227282634703443e-001	-9.853456e-001	-2.324433e-004
7.451892009703443e-001	-9.995338e-001	-2.153822e-004
7.676501384703443e-001	-9.938476e-001	-1.976847e-004
7.901110759703443e-001	-9.684002e-001	-1.796667e-004
8.125720134703443e-001	-9.236976e-001	-1.614522e-004
8.350329509703443e-001	-8.606285e-001	-1.430529e-004
8.574938884703443e-001	-7.804471e-001	-1.244296e-004
8.584704509703443e-001	-7.765962e-001	-1.236141e-004
8.809313884703443e-001	-6.802630e-001	-1.047063e-004
9.033923259703443e-001	-5.704038e-001	-8.549501e-005
9.258532634703443e-001	-4.492029e-001	-6.597977e-005
9.483142009703443e-001	-3.190702e-001	-4.619273e-005
9.707751384703443e-001	-1.825933e-001	-2.619523e-005
9.922595134703443e-001	-4.861528e-002	-6.947138e-006
9.990954509703443e-001	-5.683368e-003	-8.119184e-007
1.000000000000000e+000	-2.449213e-016	-3.498875e-020
Step Information: X=2  (Run: 2/5)
0.000000000000000e+000	0.000000e+000	0.000000e+000
5.119999855196511e-007	6.433982e-006	9.191402e-010
1.028991298517212e-002	1.289456e-001	1.844007e-005
2.152038173517212e-002	2.671463e-001	3.833844e-005
3.275085048517212e-002	4.000352e-001	5.775637e-005
4.398131923517212e-002	5.249699e-001	7.644516e-005
5.521178798517212e-002	6.394663e-001	9.415760e-005
6.644225673517212e-002	7.412480e-001	1.106468e-004
7.767272548517212e-002	8.282908e-001	1.256642e-004
8.890319423517212e-002	8.988644e-001	1.389556e-004
1.001336629851721e-001	9.515653e-001	1.502577e-004
1.113641317351721e-001	9.853456e-001	1.592940e-004
1.225946004851721e-001	9.995338e-001	1.657722e-004
1.338250692351721e-001	9.938476e-001	1.693857e-004
1.362664754851721e-001	9.899851e-001	1.697616e-004
1.470086629851721e-001	9.619889e-001	1.695494e-004
1.577508504851721e-001	9.164895e-001	1.661037e-004
1.680047567351721e-001	8.574878e-001	1.595862e-004
1.777703817351721e-001	7.880605e-001	1.503096e-004
1.870477254851721e-001	7.111075e-001	1.386677e-004
1.958367879851721e-001	6.292807e-001	1.251179e-004
2.046258504851721e-001	5.397856e-001	1.092149e-004
2.129266317351721e-001	4.492029e-001	9.219791e-005
2.212274129851721e-001	3.537370e-001	7.347055e-005
2.295281942351721e-001	2.544257e-001	5.332888e-005
2.373406942351721e-001	1.584099e-001	3.340018e-005
2.451531942351721e-001	6.086854e-002	1.287453e-005
2.500360067351721e-001	-4.524698e-004	-9.575573e-008
2.573602254851721e-001	-9.235863e-002	-1.952123e-005
2.651727254851721e-001	-1.895112e-001	-3.989368e-005
2.734735067351721e-001	-2.907149e-001	-6.075433e-005
2.817742879851721e-001	-3.887583e-001	-8.042286e-005
2.827508504851721e-001	-4.000352e-001	-8.264216e-005
2.910516317351721e-001	-4.932872e-001	-1.005826e-004
2.998406942351721e-001	-5.861590e-001	-1.175815e-004
3.086297567351721e-001	-6.718878e-001	-1.323060e-004
3.179071004851721e-001	-7.534773e-001	-1.452288e-004
3.271844442351721e-001	-8.248374e-001	-1.553963e-004
3.369500692351721e-001	-8.878396e-001	-1.631405e-004
3.472039754851721e-001	-9.396054e-001	-1.681106e-004
3.579461629851721e-001	-9.771153e-001	-1.700336e-004
3.691766317351721e-001	-9.973143e-001	-1.687181e-004
3.804071004851721e-001	-9.976830e-001	-1.643083e-004
3.916375692351721e-001	-9.782144e-001	-1.571169e-004
4.028680379851721e-001	-9.392952e-001	-1.474470e-004
4.140985067351721e-001	-8.816996e-001	-1.355867e-004
4.253289754851721e-001	-8.065726e-001	-1.218087e-004
4.292352254851721e-001	-7.765962e-001	-1.166149e-004
4.404656942351721e-001	-6.802630e-001	-1.006625e-004
4.516961629851721e-001	-5.704038e-001	-8.339159e-005
4.629266317351721e-001	-4.492029e-001	-6.504938e-005
4.741571004851721e-001	-3.190702e-001	-4.588274e-005
4.853875692351721e-001	-1.825933e-001	-2.613974e-005
4.961297567351721e-001	-4.861528e-002	-6.946088e-006
4.995477254851721e-001	-5.683368e-003	-8.119140e-007
5.000000000000000e-001	-2.449213e-016	-3.498875e-020
Step Information: X=3  (Run: 3/5)
0.000000000000000e+000	0.000000e+000	0.000000e+000
1.279999963799128e-007	4.021239e-006	5.744626e-010
4.168393992586063e-003	1.305788e-001	1.866210e-005
8.660581492586063e-003	2.687331e-001	3.846117e-005
1.315276899258605e-002	4.015442e-001	5.760636e-005
1.764495649258603e-002	5.263711e-001	7.576642e-005
2.213714399258602e-002	6.407318e-001	9.261992e-005
2.662933149258600e-002	7.423525e-001	1.078589e-004
3.112151899258598e-002	8.292125e-001	1.211926e-004
3.561370649258604e-002	8.995849e-001	1.323515e-004
4.010589399258611e-002	9.520704e-001	1.410921e-004
4.459808149258617e-002	9.856251e-001	1.472021e-004
4.909026899258624e-002	9.995822e-001	1.505058e-004
5.358245649258630e-002	9.936640e-001	1.508712e-004
5.475433149258632e-002	9.888570e-001	1.504719e-004
5.905120649258638e-002	9.598346e-001	1.472363e-004
6.334808149258643e-002	9.133483e-001	1.412181e-004
6.764495649258649e-002	8.502439e-001	1.324647e-004
7.174651899258655e-002	7.755575e-001	1.216556e-004
7.584808149258661e-002	6.880119e-001	1.085990e-004
7.994964399258667e-002	5.890588e-001	9.349544e-005
8.405120649258673e-002	4.803388e-001	7.659791e-005
8.815276899258678e-002	3.636546e-001	5.820807e-005
9.225433149258684e-002	2.409407e-001	3.867032e-005
9.635589399258690e-002	1.142320e-001	1.836319e-005
1.000668314925870e-001	-2.099552e-003	-3.376646e-007
1.037777689925870e-001	-1.184026e-001	-1.903298e-005
1.078793314925871e-001	-2.450140e-001	-3.932128e-005
1.119808939925871e-001	-3.675629e-001	-5.882743e-005
1.133480814925871e-001	-4.071560e-001	-6.508951e-005
1.174496439925872e-001	-5.211442e-001	-8.297113e-005
1.215512064925873e-001	-6.264914e-001	-9.924474e-005
1.256527689925873e-001	-7.214512e-001	-1.136259e-004
1.297543314925870e-001	-8.044489e-001	-1.258806e-004
1.340512064925868e-001	-8.770723e-001	-1.362413e-004
1.383480814925865e-001	-9.337376e-001	-1.439244e-004
1.426449564925863e-001	-9.734138e-001	-1.488467e-004
1.469418314925861e-001	-9.953790e-001	-1.509831e-004
1.514340189925858e-001	-9.989760e-001	-1.502696e-004
1.559262064925855e-001	-9.827098e-001	-1.466306e-004
1.604183939925853e-001	-9.469038e-001	-1.402038e-004
1.649105814925850e-001	-8.922699e-001	-1.311694e-004
1.694027689925848e-001	-8.198946e-001	-1.197435e-004
1.719418314925846e-001	-7.716695e-001	-1.123199e-004
1.764340189925844e-001	-6.745379e-001	-9.765634e-005
1.809262064925841e-001	-5.639940e-001	-8.128371e-005
1.854183939925839e-001	-4.422359e-001	-6.350494e-005
1.899105814925836e-001	-3.116845e-001	-4.463757e-005
1.944027689925834e-001	-1.749358e-001	-2.501010e-005
1.986996439925831e-001	-4.084014e-002	-5.834557e-006
1.998715189925830e-001	-4.036310e-003	-5.766165e-007
2.000000000000000e-001	-2.449213e-016	-3.498884e-020
Step Information: X=4  (Run: 4/5)
0.000000000000000e+000	0.000000e+000	0.000000e+000
6.249999984220267e-008	3.926991e-006	5.609987e-010
