time	V(n001)	-I(V1)
Step Information: X=1  (Run: 1/5)
0.000000000000000e+000	-9.126689e-014	-8.066779e-020
2.050781250000000e-002	1.255290e-001	4.233247e-005
4.199218750000000e-002	2.547628e-001	8.599414e-005
6.347656250000000e-002	3.793490e-001	1.282678e-004
8.496093750000000e-002	4.970114e-001	1.685188e-004
1.064453125000000e-001	6.055954e-001	2.062143e-004
1.279296875000000e-001	7.031034e-001	2.409772e-004
1.494140625000000e-001	7.877273e-001	2.726628e-004
1.708984375000000e-001	8.578727e-001	3.014738e-004
1.923828125000000e-001	9.121752e-001	3.281448e-004
2.138671875000000e-001	9.495018e-001	3.542627e-004
2.353515625000000e-001	9.689251e-001	3.828952e-004
2.509765625000000e-001	9.713453e-001	4.085179e-004
2.646484375000000e-001	9.650847e-001	4.377635e-004
2.744140625000000e-001	9.556489e-001	4.652824e-004
2.822265625000000e-001	9.449891e-001	4.934587e-004
2.900390625000000e-001	9.314061e-001	5.296841e-004
2.958984375000000e-001	9.191604e-001	5.643638e-004
3.017578125000000e-001	9.049768e-001	6.081661e-004
3.056640625000000e-001	8.943262e-001	6.442319e-004
3.095703125000000e-001	8.825971e-001	6.876193e-004
3.134765625000000e-001	8.696361e-001	7.405967e-004
3.173828125000000e-001	8.552212e-001	8.064159e-004
3.193359375000000e-001	8.473710e-001	8.455587e-004
3.212890625000000e-001	8.390219e-001	8.898790e-004
3.232421875000000e-001	8.301045e-001	9.403785e-004
3.251953125000000e-001	8.205317e-001	9.983144e-004
3.271484375000000e-001	8.101927e-001	1.065280e-003
3.291015625000000e-001	7.989459e-001	1.143310e-003
3.310546875000000e-001	7.866086e-001	1.235027e-003
3.330078125000000e-001	7.729439e-001	1.343830e-003
3.352050781250000e-001	7.560970e-001	1.485510e-003
3.369140625000000e-001	7.409125e-001	1.623469e-003
3.386230468750000e-001	7.238047e-001	1.787495e-003
3.403320312500000e-001	7.043597e-001	1.983510e-003
3.420410156250000e-001	6.821066e-001	2.218253e-003
3.435058593750000e-001	6.604570e-001	2.455171e-003
3.452148437500000e-001	6.318051e-001	2.778772e-003
3.469238281250000e-001	5.995193e-001	3.152925e-003
3.502197265625000e-001	5.303866e-001	3.968802e-003
3.522949218750000e-001	4.880354e-001	4.463144e-003
3.540039062500000e-001	4.579504e-001	4.800541e-003
3.557128906250000e-001	4.338484e-001	5.050735e-003
3.571777343750000e-001	4.187264e-001	5.185043e-003
3.591308593750000e-001	4.035780e-001	5.291069e-003
3.610839843750000e-001	3.923390e-001	5.339796e-003
3.630371093750000e-001	3.841916e-001	5.342706e-003
3.669433593750000e-001	3.724974e-001	5.277926e-003
3.786621093750000e-001	3.453569e-001	4.932397e-003
4.001464843750000e-001	2.935093e-001	4.192986e-003
4.216308593750000e-001	2.363656e-001	3.376652e-003
4.431152343750000e-001	1.749215e-001	2.498878e-003
4.645996093750000e-001	1.102947e-001	1.575639e-003
4.841308593750000e-001	4.976993e-002	7.109991e-004
4.997558593750000e-001	7.669611e-004	1.095659e-005
5.173339843750000e-001	-5.434667e-002	-7.763811e-004
5.388183593750000e-001	-1.207414e-001	-1.724877e-003
5.603027343750000e-001	-1.849393e-001	-2.641989e-003
5.817871093750000e-001	-2.457722e-001	-3.511031e-003
6.032714843750000e-001	-3.021340e-001	-4.316182e-003
6.228027343750000e-001	-3.487604e-001	-4.978440e-003
6.306152343750000e-001	-3.671970e-001	-5.205494e-003
6.345214843750000e-001	-3.786925e-001	-5.277117e-003
6.364746093750000e-001	-3.864938e-001	-5.281188e-003
6.384277343750000e-001	-3.970702e-001	-5.243985e-003
6.406250000000000e-001	-4.127426e-001	-5.146655e-003
6.423339843750000e-001	-4.311800e-001	-4.979937e-003
6.440429687500000e-001	-4.555655e-001	-4.727173e-003
6.457519531250000e-001	-4.857234e-001	-4.390225e-003
6.483154296875000e-001	-5.381109e-001	-3.780519e-003
6.508789062500000e-001	-5.911148e-001	-3.159036e-003
6.525878906250000e-001	-6.233281e-001	-2.787652e-003
6.542968750000000e-001	-6.520355e-001	-2.465006e-003
6.556396484375000e-001	-6.720001e-001	-2.247522e-003
6.568603515625000e-001	-6.885774e-001	-2.071621e-003
6.585693359375000e-001	-7.091461e-001	-1.861827e-003
6.602783203125000e-001	-7.272197e-001	-1.686295e-003
6.617431640625000e-001	-7.407954e-001	-1.561890e-003
6.636962890625000e-001	-7.570899e-001	-1.420274e-003
6.656494140625000e-001	-7.718277e-001	-1.299281e-003
6.676025390625000e-001	-7.850700e-001	-1.197796e-003
6.695556640625000e-001	-7.970915e-001	-1.111883e-003
6.715087890625000e-001	-8.081039e-001	-1.038502e-003
6.734619140625000e-001	-8.182712e-001	-9.752996e-004
6.754150390625000e-001	-8.277209e-001	-9.204400e-004
6.773681640625000e-001	-8.365534e-001	-8.724796e-004
6.793212890625000e-001	-8.448478e-001	-8.302742e-004
6.812744140625000e-001	-8.526675e-001	-7.929084e-004
6.851806640625000e-001	-8.670768e-001	-7.298780e-004
6.890869140625000e-001	-8.800852e-001	-6.789580e-004
6.929931640625000e-001	-8.918985e-001	-6.371278e-004
6.988525390625000e-001	-9.076791e-001	-5.869558e-004
7.047119140625000e-001	-9.214063e-001	-5.477504e-004
7.105712890625000e-001	-9.332824e-001	-5.164064e-004
7.183837890625000e-001	-9.464595e-001	-4.833567e-004
7.281494140625000e-001	-9.589265e-001	-4.517717e-004
7.398681640625000e-001	-9.683114e-001	-4.231813e-004
7.554931640625000e-001	-9.717439e-001	-3.945696e-004
7.769775390625000e-001	-9.601216e-001	-3.643745e-004
7.984619140625000e-001	-9.302791e-001	-3.382764e-004
8.199462890625000e-001	-8.830606e-001	-3.124502e-004
8.414306640625000e-001	-8.194982e-001	-2.848923e-004
8.629150390625000e-001	-7.408531e-001	-2.546133e-004
8.843994140625000e-001	-6.486204e-001	-2.212443e-004
9.058837890625000e-001	-5.445188e-001	-1.848180e-004
9.273681640625000e-001	-4.304676e-001	-1.456348e-004
9.488525390625000e-001	-3.085582e-001	-1.041759e-004
9.703369140625000e-001	-1.810195e-001	-6.104253e-005
9.742431640625000e-001	-1.574066e-001	-5.307231e-005
9.957275390625000e-001	-2.622152e-002	-8.837351e-006
9.996337890625000e-001	-2.247873e-003	-7.575831e-007
1.000000000000000e+000	-4.299837e-012	-3.999122e-026
Step Information: X=2  (Run: 2/5)
0.000000000000000e+000	-5.954887e-017	-6.123047e-020
1.025390625000000e-002	6.425021e-002	3.222578e-005
2.099609375000000e-002	1.304276e-001	6.606829e-005
3.173828125000000e-002	1.942557e-001	1.001022e-004
4.248046875000000e-002	2.544989e-001	1.344838e-004
5.322265625000000e-002	3.098848e-001	1.694476e-004
6.298828125000000e-002	3.549161e-001	2.020314e-004
7.275390625000000e-002	3.938349e-001	2.357697e-004
8.251953125000000e-002	4.256127e-001	2.712075e-004
9.228515625000000e-002	4.492268e-001	3.091126e-004
1.010742187500000e-001	4.626849e-001	3.462195e-004
1.098632812500000e-001	4.680774e-001	3.872751e-004
1.186523437500000e-001	4.648572e-001	4.337521e-004
1.274414062500000e-001	4.526542e-001	4.876615e-004
1.352539062500000e-001	4.341840e-001	5.440251e-004
1.420898437500000e-001	4.122974e-001	6.019537e-004
1.489257812500000e-001	3.854576e-001	6.702447e-004
1.547851562500000e-001	3.590214e-001	7.391309e-004
1.606445312500000e-001	3.301111e-001	8.197800e-004
1.665039062500000e-001	2.996575e-001	9.145552e-004
1.723632812500000e-001	2.688888e-001	1.025853e-003
1.782226562500000e-001	2.393197e-001	1.155548e-003
1.840820312500000e-001	2.126406e-001	1.303817e-003
1.889648437500000e-001	1.937719e-001	1.439102e-003
1.938476562500000e-001	1.786392e-001	1.579153e-003
1.987304687500000e-001	1.672989e-001	1.713422e-003
2.036132812500000e-001	1.590181e-001	1.825871e-003
2.075195312500000e-001	1.535845e-001	1.886666e-003
2.104492187500000e-001	1.495401e-001	1.908353e-003
2.133789062500000e-001	1.450325e-001	1.905383e-003
2.163085937500000e-001	1.396773e-001	1.875204e-003
2.192382812500000e-001	1.331872e-001	1.816678e-003
2.221679687500000e-001	1.253920e-001	1.730113e-003
2.250976562500000e-001	1.162367e-001	1.617078e-003
2.280273437500000e-001	1.057625e-001	1.480066e-003
2.309570312500000e-001	9.407948e-002	1.322123e-003
2.338867187500000e-001	8.133961e-002	1.146514e-003
2.368164062500000e-001	6.771409e-002	9.564814e-004
2.397460937500000e-001	5.339471e-002	7.550919e-004
2.436523437500000e-001	3.346253e-002	4.737953e-004
2.475585937500000e-001	1.295260e-002	1.834978e-004
2.524414062500000e-001	-1.295103e-002	-1.834972e-004
2.563476562500000e-001	-3.346087e-002	-4.737917e-004
2.602539062500000e-001	-5.339291e-002	-7.550825e-004
2.631835937500000e-001	-6.773399e-002	-9.564811e-004
2.661132812500000e-001	-8.134051e-002	-1.146532e-003
2.690429687500000e-001	-9.408055e-002	-1.322144e-003
2.719726562500000e-001	-1.057637e-001	-1.480091e-003
2.749023437500000e-001	-1.162380e-001	-1.617108e-003
2.778320312500000e-001	-1.253933e-001	-1.730148e-003
2.807617187500000e-001	-1.331885e-001	-1.816718e-003
2.836914062500000e-001	-1.396784e-001	-1.875248e-003
2.866210937500000e-001	-1.450332e-001	-1.905431e-003
2.885742187500000e-001	-1.481100e-001	-1.910306e-003
2.915039062500000e-001	-1.522608e-001	-1.896479e-003
2.954101562500000e-001	-1.576036e-001	-1.844060e-003
3.002929687500000e-001	-1.654324e-001	-1.738315e-003
3.051757812500000e-001	-1.760719e-001	-1.606955e-003
3.090820312500000e-001	-1.872426e-001	-1.495067e-003
3.139648437500000e-001	-2.046630e-001	-1.356945e-003
3.198242187500000e-001	-2.300060e-001	-1.203021e-003
3.256835937500000e-001	-2.587996e-001	-1.067015e-003
3.315429687500000e-001	-2.893468e-001	-9.497360e-004
3.374023437500000e-001	-3.200556e-001	-8.497055e-004
3.432617187500000e-001	-3.495971e-001	-7.646151e-004
3.491210937500000e-001	-3.769437e-001	-6.920538e-004
3.559570312500000e-001	-4.050879e-001	-6.203113e-004
3.627929687500000e-001	-4.284408e-001	-5.596709e-004
3.706054687500000e-001	-4.486846e-001	-5.009195e-004
3.793945312500000e-001	-4.629096e-001	-4.450134e-004
3.881835937500000e-001	-4.681034e-001	-3.970793e-004
3.969726562500000e-001	-4.645839e-001	-3.549612e-004
4.057617187500000e-001	-4.528660e-001	-3.170811e-004
4.155273437500000e-001	-4.310066e-001	-2.785641e-004
4.252929687500000e-001	-4.007820e-001	-2.427021e-004
4.350585937500000e-001	-3.632108e-001	-2.086731e-004
4.448242187500000e-001	-3.193219e-001	-1.758932e-004
4.555664062500000e-001	-2.649609e-001	-1.407896e-004
4.663085937500000e-001	-2.055069e-001	-1.063222e-004
4.770507812500000e-001	-1.422395e-001	-7.223844e-005
4.877929687500000e-001	-7.640047e-002	-3.837015e-005
4.985351562500000e-001	-9.202546e-003	-4.602022e-006
4.995117187500000e-001	-3.067702e-003	-1.533995e-006
5.000000000000000e-001	8.402176e-019	2.407424e-038
Step Information: X=3  (Run: 3/5)
0.000000000000000e+000	-1.220938e-016	-6.123032e-020
4.101562500000044e-003	6.424886e-002	3.216415e-005
8.398437500000106e-003	1.304098e-001	6.554055e-005
1.269531250000017e-002	1.942192e-001	9.825609e-005
1.699218750000023e-002	2.545125e-001	1.299669e-004
2.128906250000029e-002	3.101744e-001	1.603213e-004
2.558593750000035e-002	3.601570e-001	1.889567e-004
2.988281250000041e-002	4.035012e-001	2.154947e-004
3.417968750000047e-002	4.393585e-001	2.395369e-004
3.847656250000053e-002	4.670143e-001	2.606592e-004
4.277343750000059e-002	4.859110e-001	2.784077e-004
4.707031250000066e-002	4.956700e-001	2.922958e-004
5.136718750000063e-002	4.961092e-001	3.018045e-004
5.566406250000039e-002	4.872560e-001	3.063899e-004
5.996093750000014e-002	4.693504e-001	3.054999e-004
6.386718749999992e-002	4.455893e-001	2.994917e-004
6.777343749999970e-002	4.151853e-001	2.881665e-004
7.128906249999950e-002	3.826216e-001	2.732028e-004
7.480468749999930e-002	3.456342e-001	2.536046e-004
7.832031249999910e-002	3.047509e-001	2.293785e-004
8.144531249999892e-002	2.655868e-001	2.040766e-004
8.457031249999875e-002	2.241778e-001	1.754493e-004
8.769531249999857e-002	1.809197e-001	1.438237e-004
9.082031249999839e-002	1.362025e-001	1.096395e-004
9.394531249999821e-002	9.040771e-002	7.344178e-005
9.707031249999804e-002	4.390772e-002	3.586377e-005
9.980468749999788e-002	2.930443e-003	2.397622e-006
1.021484374999978e-001	-3.221585e-002	-2.633430e-005
1.052734374999976e-001	-7.883378e-002	-6.415032e-005
1.083984374999974e-001	-1.248401e-001	-1.007555e-004
1.115234374999972e-001	-1.698621e-001	-1.354979e-004
1.146484374999970e-001	-2.135213e-001	-1.678087e-004
1.154296874999970e-001	-2.241778e-001	-1.754493e-004
1.185546874999968e-001	-2.655868e-001	-2.040766e-004
1.220703124999966e-001	-3.094688e-001	-2.322955e-004
1.255859374999964e-001	-3.499462e-001	-2.560119e-004
1.291015624999962e-001	-3.864676e-001	-2.750932e-004
1.330078124999960e-001	-4.217710e-001	-2.908714e-004
1.369140624999958e-001	-4.508898e-001	-3.011084e-004
1.412109374999955e-001	-4.751096e-001	-3.063167e-004
1.455078124999953e-001	-4.905822e-001	-3.056592e-004
1.498046874999950e-001	-4.969161e-001	-2.996762e-004
1.541015624999948e-001	-4.939288e-001	-2.889201e-004
1.583984374999946e-001	-4.816511e-001	-2.739290e-004
1.626953124999943e-001	-4.603201e-001	-2.552134e-004
1.669921874999941e-001	-4.303652e-001	-2.332511e-004
1.712890624999938e-001	-3.923891e-001	-2.084874e-004
1.755859374999936e-001	-3.471452e-001	-1.813388e-004
1.798828124999933e-001	-2.955145e-001	-1.521978e-004
1.841796874999931e-001	-2.384824e-001	-1.214380e-004
1.884765624999928e-001	-1.771170e-001	-8.941874e-005
1.927734374999926e-001	-1.125492e-001	-5.648910e-005
1.970703124999924e-001	-4.595358e-002	-2.299146e-005
1.998046874999922e-001	-3.067867e-003	-1.533955e-006
2.000000000000000e-001	5.377005e-020	7.523165e-039
Step Information: X=4  (Run: 4/5)
0.000000000000000e+000	-1.224148e-016	-6.123032e-020
2.050781250000022e-003	6.424776e-002	3.214371e-005
4.199218750000053e-003	1.304013e-001	6.536760e-005
6.347656250000083e-003	1.941947e-001	9.766385e-005
8.496093750000114e-003	2.544695e-001	1.285618e-004
1.064453125000014e-002	3.101269e-001	1.575957e-004
1.279296875000018e-002	3.601477e-001	1.843079e-004
1.494140625000021e-002	4.036112e-001	2.082509e-004
1.708984375000024e-002	4.397131e-001	2.289926e-004
1.923828125000027e-002	4.677828e-001	2.461210e-004
2.138671875000030e-002	4.872971e-001	2.592510e-004
2.353515625000033e-002	4.978932e-001	2.680339e-004
2.568359375000032e-002	4.993767e-001	2.721673e-004
2.783203125000019e-002	4.917266e-001	2.714086e-004
2.998046875000007e-002	4.750964e-001	2.655895e-004
3.212890624999995e-002	4.498096e-001	2.546320e-004
3.408203124999984e-002	4.197156e-001	2.402336e-004
3.603515624999973e-002	3.833401e-001	2.217196e-004
3.798828124999962e-002	3.412487e-001	1.992898e-004
3.994140624999951e-002	2.940890e-001	1.732401e-004
4.189453124999940e-002	2.425786e-001	1.439636e-004
4.384765624999928e-002	1.874927e-001	1.119471e-004
4.580078124999917e-002	1.296521e-001	7.776228e-005
4.775390624999906e-002	6.991135e-002	4.205151e-005
4.951171874999896e-002	1.524494e-002	9.179933e-006
5.087890624999888e-002	-2.743153e-002	-1.651620e-005
5.263671874999878e-002	-8.196962e-002	-4.928300e-005
5.458984374999867e-002	-1.414000e-001	-8.474274e-005
5.654296874999856e-002	-1.987571e-001	-1.185433e-004
5.771484374999850e-002	-2.318218e-001	-1.377623e-004
5.966796874999839e-002	-2.841109e-001	-1.676287e-004
6.162109374999827e-002	-3.322002e-001	-1.943583e-004
6.357421874999816e-002	-3.753594e-001	-2.175389e-004
6.552734374999805e-002	-4.129262e-001	-2.368550e-004
6.748046874999794e-002	-4.443175e-001	-2.520880e-004
6.962890624999782e-002	-4.711305e-001	-2.639801e-004
7.177734374999770e-002	-4.893636e-001	-2.707306e-004
7.392578124999757e-002	-4.986629e-001	-2.723993e-004
7.607421874999745e-002	-4.988437e-001	-2.691392e-004
7.822265624999733e-002	-4.898950e-001	-2.611808e-004
8.037109374999721e-002	-4.719800e-001	-2.488164e-004
8.251953124999709e-002	-4.454315e-001	-2.323873e-004
8.466796874999696e-002	-4.107442e-001	-2.122726e-004
8.681640624999684e-002	-3.685631e-001	-1.888800e-004
8.896484374999672e-002	-3.196692e-001	-1.626385e-004
9.111328124999660e-002	-2.649634e-001	-1.339928e-004
9.326171874999648e-002	-2.054486e-001	-1.033994e-004
9.541015624999635e-002	-1.422102e-001	-7.132249e-005
9.755859374999623e-002	-7.639759e-002	-3.823208e-005
9.970703124999611e-002	-9.203024e-003	-4.601608e-006
9.990234374999610e-002	-3.067866e-003	-1.533944e-006
1.000000000000000e-001	6.721876e-021	-1.880795e-040
Step Information: X=5  (Run: 5/5)
0.000000000000000e+000	-1.224527e-016	-6.123032e-020
1.025390625000011e-003	6.424720e-002	3.213351e-005
2.099609375000026e-003	1.303968e-001	6.528167e-005
3.173828125000042e-003	1.941806e-001	9.737188e-005
4.248046875000057e-003	2.544400e-001	1.278766e-004
5.322265625000072e-003	3.100795e-001	1.562855e-004
6.396484375000087e-003	3.600856e-001	1.821113e-004
7.470703125000103e-003	4.035464e-001	2.048968e-004
8.544921875000118e-003	4.396675e-001	2.242219e-004
9.619140625000133e-003	4.677880e-001	2.397106e-004
1.069335937500015e-002	4.873921e-001	2.510393e-004
1.176757812500016e-002	4.981200e-001	2.579449e-004
1.284179687500016e-002	4.997744e-001	2.602327e-004
1.391601562500010e-002	4.923251e-001	2.577846e-004
1.499023437500004e-002	4.759088e-001	2.505669e-004
1.606445312499998e-002	4.508271e-001	2.386360e-004
1.713867187499991e-002	4.175406e-001	2.221440e-004
1.821289062499985e-002	3.766593e-001	2.013410e-004
1.928710937499979e-002	3.289314e-001	1.765751e-004
2.036132812499973e-002	2.752287e-001	1.482894e-004
2.133789062499968e-002	2.220452e-001	1.199661e-004
2.231445312499962e-002	1.655316e-001	8.962728e-005
2.329101562499956e-002	1.065367e-001	5.777275e-005
2.426757812499951e-002	4.594536e-002	2.493671e-005
2.504882812499946e-002	-3.067317e-003	-1.665099e-006
2.602539062499941e-002	-6.423666e-002	-3.485776e-005
2.700195312499935e-002	-1.244436e-001	-6.745702e-005
2.797851562499930e-002	-1.827856e-001	-9.891159e-005
2.885742187499925e-002	-2.329746e-001	-1.258073e-004
2.983398437499919e-002	-2.853944e-001	-1.536712e-004
3.090820312499913e-002	-3.380807e-001	-1.813540e-004
3.198242187499907e-002	-3.846252e-001	-2.054296e-004
3.305664062499901e-002	-4.241773e-001	-2.254719e-004
3.413085937499895e-002	-4.560133e-001	-2.411503e-004
3.520507812499889e-002	-4.795491e-001	-2.522327e-004
3.627929687499883e-002	-4.943527e-001	-2.585847e-004
3.735351562499877e-002	-5.001521e-001	-2.601666e-004
3.842773437499870e-002	-4.968407e-001	-2.570281e-004
3.950195312499864e-002	-4.844795e-001	-2.493017e-004
4.057617187499858e-002	-4.632955e-001	-2.371951e-004
4.165039062499852e-002	-4.336776e-001	-2.209832e-004
4.272460937499846e-002	-3.961687e-001	-2.009996e-004
