time	V(n001)	-I(V1)
Step Information: X=1  (Run: 1/5)
0.000000000000000e+000	-4.191274e-017	-3.498877e-020
1.855468750000000e-002	3.319338e-002	1.664501e-005
3.613281250000000e-002	6.402054e-002	3.236308e-005
5.371093750000000e-002	9.365561e-002	4.798624e-005
7.128906250000000e-002	1.215245e-001	6.347603e-005
8.886718750000000e-002	1.470625e-001	7.880267e-005
1.064453125000000e-001	1.697218e-001	9.394715e-005
1.240234375000000e-001	1.889825e-001	1.089025e-004
1.396484375000000e-001	2.028648e-001	1.220414e-004
1.552734375000000e-001	2.133962e-001	1.350458e-004
1.708984375000000e-001	2.203465e-001	1.479313e-004
1.865234375000000e-001	2.235640e-001	1.607149e-004
2.021484375000000e-001	2.229981e-001	1.734095e-004
2.177734375000000e-001	2.187209e-001	1.860171e-004
2.353515625000000e-001	2.097440e-001	2.000725e-004
2.529296875000000e-001	1.968752e-001	2.139175e-004
2.744140625000000e-001	1.769892e-001	2.303236e-004
2.958984375000000e-001	1.541859e-001	2.456826e-004
3.173828125000000e-001	1.303747e-001	2.591641e-004
3.388671875000000e-001	1.073113e-001	2.694869e-004
3.564453125000000e-001	8.992846e-002	2.742945e-004
3.720703125000000e-001	7.597228e-002	2.746325e-004
3.857421875000000e-001	6.499224e-002	2.709055e-004
3.994140625000000e-001	5.511092e-002	2.624489e-004
4.111328125000000e-001	4.741728e-002	2.506849e-004
4.208984375000000e-001	4.146590e-002	2.372373e-004
4.306640625000000e-001	3.585183e-002	2.201614e-004
4.404296875000000e-001	3.049723e-002	1.992564e-004
4.482421875000000e-001	2.635050e-002	1.797272e-004
4.560546875000000e-001	2.228867e-002	1.577527e-004
4.638671875000000e-001	1.828312e-002	1.334686e-004
4.716796875000000e-001	1.431132e-002	1.071039e-004
4.794921875000000e-001	1.035691e-002	7.898132e-005
4.873046875000000e-001	6.409774e-003	4.951018e-005
4.951171875000000e-001	2.465179e-003	1.917033e-005
5.048828125000000e-001	-2.465231e-003	-1.917034e-005
5.126953125000000e-001	-6.409838e-003	-4.951018e-005
5.205078125000000e-001	-1.035650e-002	-7.898132e-005
5.283203125000000e-001	-1.431126e-002	-1.071038e-004
5.361328125000000e-001	-1.828305e-002	-1.334686e-004
5.439453125000000e-001	-2.228857e-002	-1.577527e-004
5.517578125000000e-001	-2.635039e-002	-1.797271e-004
5.615234375000000e-001	-3.155090e-002	-2.037491e-004
5.712890625000000e-001	-3.695125e-002	-2.238782e-004
5.791015625000000e-001	-4.146570e-002	-2.372373e-004
5.888671875000000e-001	-4.741704e-002	-2.506849e-004
6.005859375000000e-001	-5.511064e-002	-2.624489e-004
6.142578125000000e-001	-6.499190e-002	-2.709056e-004
6.298828125000000e-001	-7.763432e-002	-2.748346e-004
6.455078125000000e-001	-9.177580e-002	-2.739664e-004
6.650390625000000e-001	-1.113818e-001	-2.679206e-004
6.865234375000000e-001	-1.346946e-001	-2.569034e-004
7.080078125000000e-001	-1.584619e-001	-2.430003e-004
7.294921875000000e-001	-1.808760e-001	-2.274002e-004
7.490234375000000e-001	-1.984746e-001	-2.123936e-004
7.666015625000000e-001	-2.109446e-001	-1.985194e-004
7.841796875000000e-001	-2.194518e-001	-1.844464e-004
7.998046875000000e-001	-2.232738e-001	-1.718274e-004
8.154296875000000e-001	-2.233681e-001	-1.591221e-004
8.310546875000000e-001	-2.196790e-001	-1.463266e-004
8.466796875000000e-001	-2.122710e-001	-1.334272e-004
8.623046875000000e-001	-2.013068e-001	-1.204067e-004
8.779296875000000e-001	-1.870251e-001	-1.072501e-004
8.955078125000000e-001	-1.673624e-001	-9.227379e-005
9.130859375000000e-001	-1.443570e-001	-7.710850e-005
9.306640625000000e-001	-1.185326e-001	-6.176256e-005
9.482421875000000e-001	-9.043942e-002	-4.625630e-005
9.658203125000000e-001	-6.064350e-002	-3.062056e-005
9.833984375000000e-001	-2.971962e-002	-1.489460e-005
9.990234375000000e-001	-1.753031e-003	-8.765543e-007
1.000000000000000e+000	3.748527e-019	6.878327e-039
Step Information: X=2  (Run: 2/5)
0.000000000000000e+000	-6.646937e-017	-3.498875e-020
1.025390625000000e-002	3.668605e-002	1.837545e-005
2.001953125000000e-002	7.092648e-002	3.570092e-005
2.978515625000000e-002	1.038272e-001	5.268832e-005
3.955078125000000e-002	1.347658e-001	6.917391e-005
4.931640625000000e-002	1.631567e-001	8.499486e-005
5.908203125000000e-002	1.884650e-001	9.998892e-005
6.884765625000000e-002	2.102201e-001	1.139936e-004
7.861328125000000e-002	2.280294e-001	1.268447e-004
8.837890625000000e-002	2.415930e-001	1.383744e-004
9.814453125000000e-002	2.507157e-001	1.484097e-004
1.079101562500000e-001	2.553177e-001	1.567698e-004
1.176757812500000e-001	2.554409e-001	1.632650e-004
1.284179687500000e-001	2.506028e-001	1.680188e-004
1.391601562500000e-001	2.409258e-001	1.700031e-004
1.499023437500000e-001	2.269346e-001	1.689444e-004
1.596679687500000e-001	2.110022e-001	1.651246e-004
