time	V(n001)	-I(V1)
Step Information: X=1  (Run: 1/5)
0.000000000000000e+000	0.000000e+000	0.000000e+000
2.057982597034425e-002	1.289456e-001	2.584417e-005
4.304076347034425e-002	2.671463e-001	5.393253e-005
6.550170097034425e-002	4.000352e-001	8.178607e-005
8.796263847034425e-002	5.249699e-001	1.093226e-004
1.104235759703443e-001	6.394663e-001	1.365106e-004
1.328845134703443e-001	7.412480e-001	1.633875e-004
1.553454509703443e-001	8.282908e-001	1.900807e-004
1.778063884703443e-001	8.988644e-001	2.168304e-004
2.002673259703443e-001	9.515653e-001	2.440192e-004
2.227282634703443e-001	9.853456e-001	2.722119e-004
2.451892009703443e-001	9.995338e-001	3.022124e-004
2.676501384703443e-001	9.938476e-001	3.351504e-004
2.725329509703443e-001	9.899851e-001	3.428441e-004
2.949938884703443e-001	9.602953e-001	3.815691e-004
3.155017009703443e-001	9.164895e-001	4.233299e-004
3.340563884703443e-001	8.637367e-001	4.686639e-004
3.506579509703443e-001	8.065726e-001	5.176448e-004
3.662829509703443e-001	7.447489e-001	5.735163e-004
3.799548259703443e-001	6.847476e-001	6.324973e-004
3.936267009703443e-001	6.196963e-001	7.032467e-004
4.072985759703443e-001	5.500750e-001	7.877147e-004
4.239001384703443e-001	4.601327e-001	9.078708e-004
4.395251384703443e-001	3.708935e-001	1.023033e-003
4.473376384703443e-001	3.248793e-001	1.066068e-003
4.531970134703443e-001	2.898489e-001	1.082077e-003
4.580798259703443e-001	2.603548e-001	1.078800e-003
4.619860759703443e-001	2.365818e-001	1.061792e-003
4.658923259703443e-001	2.126662e-001	1.029301e-003
4.697985759703443e-001	1.886226e-001	9.791501e-004
4.727282634703443e-001	1.705144e-001	9.289590e-004
4.756579509703443e-001	1.523486e-001	8.675538e-004
4.785876384703443e-001	1.341311e-001	7.948892e-004
4.815173259703443e-001	1.158681e-001	7.112717e-004
4.844470134703443e-001	9.756592e-002	6.173674e-004
4.873767009703443e-001	7.923065e-002	5.141870e-004
4.903063884703443e-001	6.086854e-002	4.030522e-004
4.932360759703443e-001	4.248580e-002	2.855475e-004
4.961657634703443e-001	2.408866e-002	1.634628e-004
4.990954509703443e-001	5.683365e-003	3.873280e-005
5.010485759703443e-001	-6.588288e-003	-4.489600e-005
5.039782634703443e-001	-2.499333e-002	-1.695423e-004
5.069079509703443e-001	-4.338990e-002	-2.914453e-004
5.098376384703443e-001	-6.177177e-002	-4.086762e-004
5.127673259703443e-001	-8.013271e-002	-5.194540e-004
5.156970134703443e-001	-9.846650e-002	-6.222057e-004
5.186267009703443e-001	-1.167669e-001	-7.156243e-004
5.215563884703443e-001	-1.350278e-001	-7.987154e-004
5.244860759703443e-001	-1.532429e-001	-8.708306e-004
5.274157634703443e-001	-1.714061e-001	-9.316810e-004
5.303454509703443e-001	-1.895112e-001	-9.813283e-004
5.342517009703443e-001	-2.135504e-001	-1.030797e-003
5.381579509703443e-001	-2.374609e-001	-1.062676e-003
5.430407634703443e-001	-2.671463e-001	-1.081166e-003
5.479235759703443e-001	-2.965803e-001	-1.080482e-003
5.537829509703443e-001	-3.315301e-001	-1.061126e-003
5.625720134703443e-001	-3.830978e-001	-1.008891e-003
5.655017009703443e-001	-4.000352e-001	-9.880390e-004
5.879626384703443e-001	-5.249699e-001	-8.202870e-004
6.016345134703443e-001	-5.960571e-001	-7.309049e-004
6.153063884703443e-001	-6.627485e-001	-6.555708e-004
6.289782634703443e-001	-7.245522e-001	-5.927700e-004
6.436267009703443e-001	-7.848297e-001	-5.368358e-004
6.592517009703443e-001	-8.417914e-001	-4.873044e-004
6.768298259703443e-001	-8.961587e-001	-4.410474e-004
6.963610759703443e-001	-9.437343e-001	-3.982859e-004
7.188220134703443e-001	-9.808642e-001	-3.570472e-004
7.412829509703443e-001	-9.984910e-001	-3.216091e-004
7.637438884703443e-001	-9.962643e-001	-2.900005e-004
7.862048259703443e-001	-9.742283e-001	-2.608337e-004
8.086657634703443e-001	-9.328211e-001	-2.331216e-004
8.311267009703443e-001	-8.728660e-001	-2.061639e-004
8.535876384703443e-001	-7.955554e-001	-1.794739e-004
8.584704509703443e-001	-7.765962e-001	-1.736729e-004
8.809313884703443e-001	-6.802630e-001	-1.468873e-004
9.033923259703443e-001	-5.704038e-001	-1.198279e-004
9.258532634703443e-001	-4.492029e-001	-9.242521e-005
9.483142009703443e-001	-3.190702e-001	-6.468633e-005
9.707751384703443e-001	-1.825933e-001	-3.667614e-005
9.922595134703443e-001	-4.861528e-002	-9.726044e-006
9.990954509703443e-001	-5.683368e-003	-1.136686e-006
1.000000000000000e+000	-2.449213e-016	-4.898425e-020
Step Information: X=2  (Run: 2/5)
0.000000000000000e+000	0.000000e+000	0.000000e+000
2.559999927598256e-007	3.216991e-006	6.433982e-010
1.028991298517212e-002	1.289456e-001	2.581658e-005
2.152038173517212e-002	2.671463e-001	5.367827e-005
3.275085048517212e-002	4.000352e-001	8.087506e-005
4.398131923517212e-002	5.249699e-001	1.070638e-004
5.521178798517212e-002	6.394663e-001	1.319050e-004
6.644225673517212e-002	7.412480e-001	1.550615e-004
7.767272548517212e-002	8.282908e-001	1.761962e-004
8.890319423517212e-002	8.988644e-001	1.949672e-004
1.001336629851721e-001	9.515653e-001	2.110222e-004
1.113641317351721e-001	9.853456e-001	2.239914e-004
1.225946004851721e-001	9.995338e-001	2.334811e-004
1.338250692351721e-001	9.938476e-001	2.390701e-004
1.362664754851721e-001	9.899851e-001	2.397256e-004
1.474969442351721e-001	9.602953e-001	2.399615e-004
1.582391317351721e-001	9.140177e-001	2.356032e-004
1.684930379851721e-001	8.543149e-001	2.269058e-004
1.782586629851721e-001	7.842686e-001	2.142408e-004
1.875360067351721e-001	7.067801e-001	1.980993e-004
1.963250692351721e-001	6.245003e-001	1.790796e-004
2.046258504851721e-001	5.397856e-001	1.578607e-004
2.129266317351721e-001	4.492029e-001	1.336636e-004
2.207391317351721e-001	3.594695e-001	1.084405e-004
2.285516317351721e-001	2.662742e-001	8.120394e-005
2.363641317351721e-001	1.705144e-001	5.240353e-005
2.436883504851721e-001	7.923065e-002	2.445168e-005
2.500360067351721e-001	-4.524698e-004	-1.397989e-007
2.568719442351721e-001	-8.624730e-002	-2.661145e-005
2.641961629851721e-001	-1.774479e-001	-5.451016e-005
2.720086629851721e-001	-2.730541e-001	-8.321518e-005
2.798211629851721e-001	-3.660307e-001	-1.103212e-004
2.827508504851721e-001	-4.000352e-001	-1.199804e-004
2.905633504851721e-001	-4.879406e-001	-1.441832e-004
2.988641317351721e-001	-5.761726e-001	-1.671580e-004
3.076531942351721e-001	-6.627485e-001	-1.881354e-004
3.164422567351721e-001	-7.412480e-001	-2.055166e-004
3.257196004851721e-001	-8.142914e-001	-2.199292e-004
3.354852254851721e-001	-8.792196e-001	-2.308264e-004
3.457391317351721e-001	-9.331468e-001	-2.377655e-004
3.564813192351721e-001	-9.730352e-001	-2.404154e-004
3.677117879851721e-001	-9.957995e-001	-2.385518e-004
3.789422567351721e-001	-9.987637e-001	-2.324032e-004
3.901727254851721e-001	-9.818690e-001	-2.224130e-004
4.014031942351721e-001	-9.454511e-001	-2.089989e-004
4.126336629851721e-001	-8.902344e-001	-1.925508e-004
4.238641317351721e-001	-8.173165e-001	-1.734359e-004
4.292352254851721e-001	-7.765962e-001	-1.634540e-004
4.404656942351721e-001	-6.802630e-001	-1.410356e-004
4.516961629851721e-001	-5.704038e-001	-1.168030e-004
4.629266317351721e-001	-4.492029e-001	-9.109286e-005
4.741571004851721e-001	-3.190702e-001	-6.424363e-005
4.853875692351721e-001	-1.825933e-001	-3.659702e-005
4.961297567351721e-001	-4.861528e-002	-9.724550e-006
4.995477254851721e-001	-5.683368e-003	-1.136680e-006
5.000000000000000e-001	-2.449213e-016	-4.898425e-020
Step Information: X=3  (Run: 3/5)
0.000000000000000e+000	0.000000e+000	0.000000e+000
1.279999963799128e-007	4.021239e-006	8.042477e-010
4.168393992586063e-003	1.305788e-001	2.612714e-005
8.660581492586063e-003	2.687331e-001	5.384741e-005
1.315276899258605e-002	4.015442e-001	8.065510e-005
1.764495649258603e-002	5.263711e-001	1.060878e-004
2.213714399258602e-002	6.407318e-001	1.296969e-004
2.662933149258600e-002	7.423525e-001	1.510524e-004
3.112151899258598e-002	8.292125e-001	1.697480e-004
3.561370649258604e-002	8.995849e-001	1.854070e-004
4.010589399258611e-002	9.520704e-001	1.976883e-004
4.459808149258617e-002	9.856251e-001	2.062935e-004
4.909026899258624e-002	9.995822e-001	2.109751e-004
5.358245649258630e-002	9.936640e-001	2.115450e-004
5.475433149258632e-002	9.888570e-001	2.110010e-004
5.905120649258638e-002	9.598346e-001	2.065238e-004
6.334808149258643e-002	9.133483e-001	1.981430e-004
6.764495649258649e-002	8.502439e-001	1.859198e-004
7.174651899258655e-002	7.755575e-001	1.708003e-004
7.584808149258661e-002	6.880119e-001	1.525137e-004
7.994964399258667e-002	5.890588e-001	1.313383e-004
8.405120649258673e-002	4.803388e-001	1.076272e-004
8.815276899258678e-002	3.636546e-001	8.180396e-005
9.205901899258684e-002	2.468912e-001	5.569041e-005
9.596526899258689e-002	1.264145e-001	2.856295e-005
9.967620649258695e-002	1.017200e-002	2.299682e-006
1.020199564925870e-001	-6.341562e-002	-1.433490e-005
1.059262064925870e-001	-1.851018e-001	-4.179470e-005
1.098324564925871e-001	-3.040040e-001	-6.849103e-005
1.133480814925871e-001	-4.071560e-001	-9.146881e-005
1.174496439925872e-001	-5.211442e-001	-1.165725e-004
1.215512064925873e-001	-6.264914e-001	-1.394013e-004
1.256527689925873e-001	-7.214512e-001	-1.595567e-004
1.297543314925870e-001	-8.044489e-001	-1.767126e-004
1.340512064925868e-001	-8.770723e-001	-1.911965e-004
1.383480814925865e-001	-9.337376e-001	-2.019155e-004
1.426449564925863e-001	-9.734138e-001	-2.087582e-004
1.469418314925861e-001	-9.953790e-001	-2.116949e-004
1.514340189925858e-001	-9.989760e-001	-2.106376e-004
