time	V(n001)	-I(V1)
Step Information: X=1  (Run: 1/5)
0.000000000000000e+000	0.000000e+000	0.000000e+000
9.837638470344245e-003	6.177177e-002	3.097908e-005
2.057982597034425e-002	1.289456e-001	6.532375e-005
3.132201347034425e-002	1.955322e-001	1.008059e-004
4.206420097034425e-002	2.612284e-001	1.381349e-004
5.182982597034425e-002	3.199278e-001	1.744042e-004
6.159545097034425e-002	3.774229e-001	2.137621e-004
7.038451347034425e-002	4.279600e-001	2.527403e-004
7.917357597034425e-002	4.771924e-001	2.962184e-004
8.698607597034425e-002	5.197377e-001	3.398534e-004
9.479857597034425e-002	5.610309e-001	3.897047e-004
1.016345134703443e-001	5.960571e-001	4.400352e-004
1.084704509703443e-001	6.299838e-001	4.986653e-004
1.143298259703443e-001	6.581412e-001	5.576212e-004
1.192126384703443e-001	6.809260e-001	6.147583e-004
1.240954509703443e-001	7.030700e-001	6.813001e-004
1.289782634703443e-001	7.245522e-001	7.600441e-004
1.328845134703443e-001	7.412480e-001	8.344441e-004
1.367907634703443e-001	7.574972e-001	9.220141e-004
1.397204509703443e-001	7.693852e-001	9.986589e-004
1.426501384703443e-001	7.810125e-001	1.087159e-003
1.455798259703443e-001	7.923752e-001	1.190502e-003
1.485095134703443e-001	8.034694e-001	1.312723e-003
1.514392009703443e-001	8.142914e-001	1.459385e-003
1.533923259703443e-001	8.213530e-001	1.574481e-003
1.553454509703443e-001	8.282908e-001	1.706969e-003
1.572985759703443e-001	8.351040e-001	1.860870e-003
1.592517009703443e-001	8.417914e-001	2.041444e-003
1.612048259703443e-001	8.483520e-001	2.255651e-003
1.632800212828443e-001	8.551905e-001	2.527174e-003
1.649890056578443e-001	8.607066e-001	2.799710e-003
1.665759197203443e-001	8.657396e-001	3.101201e-003
1.677966228453443e-001	8.695524e-001	3.372431e-003
1.692614665953443e-001	8.740615e-001	3.751441e-003
1.705432048765943e-001	8.779456e-001	4.142518e-003
1.718249431578443e-001	8.817727e-001	4.599286e-003
1.731066814390943e-001	8.855426e-001	5.132586e-003
1.743884197203443e-001	8.892552e-001	5.752309e-003
1.757617107359693e-001	8.931690e-001	6.518462e-003
1.774096599547193e-001	8.977777e-001	7.571124e-003
1.788745037047193e-001	9.017934e-001	8.592632e-003
1.813159099547193e-001	9.083164e-001	1.027899e-002
1.829333415953443e-001	9.125201e-001	1.122480e-002
1.845202556578443e-001	9.165533e-001	1.194212e-002
1.862292400328443e-001	9.207941e-001	1.248249e-002
1.879382244078443e-001	9.249254e-001	1.283210e-002
1.908679119078443e-001	9.317614e-001	1.317539e-002
1.967272869078443e-001	9.444927e-001	1.347757e-002
2.162585369078443e-001	9.776020e-001	1.396574e-002
2.387194744078443e-001	9.974799e-001	1.424971e-002
2.611804119078443e-001	9.975242e-001	1.425035e-002
2.836413494078443e-001	9.777342e-001	1.396763e-002
3.061022869078443e-001	9.385033e-001	1.340719e-002
3.285632244078443e-001	8.806117e-001	1.258017e-002
3.510241619078443e-001	8.052103e-001	1.150300e-002
3.734850994078443e-001	7.137985e-001	1.019712e-002
3.959460369078443e-001	6.081938e-001	8.688482e-003
4.057116619078443e-001	5.583742e-001	7.976774e-003
4.281725994078443e-001	4.361360e-001	6.230514e-003
4.506335369078443e-001	3.052259e-001	4.360370e-003
4.721179119078443e-001	1.742919e-001	2.489885e-003
4.936022869078443e-001	4.018681e-002	5.740973e-004
5.082507244078443e-001	-5.181713e-002	-7.402446e-004
5.297350994078443e-001	-1.857444e-001	-2.653491e-003
5.512194744078443e-001	-3.162920e-001	-4.518458e-003
5.736804119078443e-001	-4.465832e-001	-6.379761e-003
5.961413494078443e-001	-5.679948e-001	-8.114205e-003
6.176257244078443e-001	-6.735902e-001	-9.621127e-003
6.293444744078443e-001	-7.261361e-001	-1.032697e-002
6.332507244078443e-001	-7.427905e-001	-1.046338e-002
6.361804119078443e-001	-7.549881e-001	-1.043590e-002
6.381335369078443e-001	-7.629780e-001	-1.029066e-002
6.399645915953443e-001	-7.703710e-001	-1.002041e-002
6.416735759703443e-001	-7.771728e-001	-9.592117e-003
6.433825603453443e-001	-7.838855e-001	-8.990018e-003
6.452136150328443e-001	-7.909767e-001	-8.179531e-003
6.490588298765943e-001	-8.055267e-001	-6.294956e-003
6.507678142515943e-001	-8.118430e-001	-5.534115e-003
6.524767986265943e-001	-8.180656e-001	-4.868415e-003
6.540026775328443e-001	-8.235420e-001	-4.357218e-003
6.552844158140943e-001	-8.280827e-001	-3.985200e-003
6.567492595640943e-001	-8.332081e-001	-3.614719e-003
6.584582439390943e-001	-8.390975e-001	-3.248175e-003
6.601672283140943e-001	-8.448902e-001	-2.939763e-003
6.617541423765943e-001	-8.501782e-001	-2.697512e-003
6.637072673765943e-001	-8.565710e-001	-2.444293e-003
6.656603923765943e-001	-8.628387e-001	-2.230183e-003
6.676135173765943e-001	-8.689765e-001	-2.048580e-003
6.695666423765943e-001	-8.749834e-001	-1.893134e-003
6.715197673765943e-001	-8.808586e-001	-1.758923e-003
6.744494548765943e-001	-8.894224e-001	-1.589264e-003
6.773791423765943e-001	-8.976848e-001	-1.449258e-003
6.803088298765943e-001	-9.056430e-001	-1.332029e-003
6.832385173765943e-001	-9.132944e-001	-1.232602e-003
6.871447673765943e-001	-9.230144e-001	-1.121523e-003
6.910510173765943e-001	-9.321784e-001	-1.029388e-003
6.959338298765943e-001	-9.428432e-001	-9.342755e-004
7.008166423765943e-001	-9.526206e-001	-8.559798e-004
7.066760173765943e-001	-9.631693e-001	-7.785433e-004
7.125353923765943e-001	-9.724126e-001	-7.146204e-004
7.193713298765943e-001	-9.815302e-001	-6.527619e-004
7.271838298765943e-001	-9.897325e-001	-5.945289e-004
7.359728923765943e-001	-9.961092e-001	-5.406670e-004
7.457385173765943e-001	-9.996321e-001	-4.913395e-004
7.564807048765943e-001	-9.991617e-001	-4.463327e-004
7.691760173765943e-001	-9.927409e-001	-4.020854e-004
7.838244548765943e-001	-9.774922e-001	-3.594977e-004
8.004260173765943e-001	-9.502170e-001	-3.187662e-004
8.189807048765943e-001	-9.075269e-001	-2.796098e-004
8.414416423765943e-001	-8.394319e-001	-2.380310e-004
8.639025798765943e-001	-7.546461e-001	-2.004463e-004
8.863635173765943e-001	-6.548551e-001	-1.652813e-004
8.941760173765943e-001	-6.169838e-001	-1.534251e-004
9.166369548765943e-001	-5.001569e-001	-1.200451e-004
9.390978923765943e-001	-3.733852e-001	-8.734332e-005
9.615588298765943e-001	-2.391891e-001	-5.500444e-005
9.840197673765943e-001	-1.002372e-001	-2.284094e-005
9.996447673765943e-001	-2.231978e-003	-5.076354e-007
1.000000000000000e+000	-2.449213e-016	-5.570387e-020
Step Information: X=2  (Run: 2/5)
0.000000000000000e+000	0.000000e+000	0.000000e+000
1.279999963799128e-007	1.608495e-006	8.042477e-010
8.336787985172123e-003	1.045707e-001	5.250997e-005
1.761413173517212e-002	2.195406e-001	1.118977e-004
2.689147548517212e-002	3.315301e-001	1.734384e-004
3.568053798517212e-002	4.334975e-001	2.350262e-004
4.398131923517212e-002	5.249699e-001	2.975813e-004
5.179381923517212e-002	6.058654e-001	3.620061e-004
5.911803798517212e-002	6.764197e-001	4.292072e-004
6.595397548517212e-002	7.371155e-001	5.000980e-004
7.181335048517212e-002	7.848297e-001	5.693716e-004
7.718444423517212e-002	8.248374e-001	6.421079e-004
8.255553798517212e-002	8.610890e-001	7.266238e-004
8.743835048517212e-002	8.906462e-001	8.171378e-004
9.183288173517212e-002	9.143844e-001	9.135579e-004
9.573913173517212e-002	9.331468e-001	1.015119e-003
9.915710048517212e-002	9.477211e-001	1.120120e-003
1.025750692351721e-001	9.605474e-001	1.244943e-003
1.055047567351721e-001	9.701320e-001	1.372600e-003
1.084344442351721e-001	9.784018e-001	1.525420e-003
1.108758504851721e-001	9.842808e-001	1.677878e-003
1.133172567351721e-001	9.892335e-001	1.860256e-003
1.152703817351721e-001	9.925255e-001	2.033919e-003
1.172235067351721e-001	9.952196e-001	2.239302e-003
1.191766317351721e-001	9.973143e-001	2.485318e-003
1.206414754851721e-001	9.984910e-001	2.703663e-003
1.221063192351721e-001	9.993295e-001	2.958389e-003
1.235711629851721e-001	9.998294e-001	3.258146e-003
1.250360067351721e-001	9.999905e-001	3.613982e-003
1.265008504851721e-001	9.998218e-001	4.037514e-003
1.277825887664221e-001	9.993884e-001	4.480619e-003
1.290032918914221e-001	9.987343e-001	4.977129e-003
1.302850301726721e-001	9.977948e-001	5.590339e-003
1.315667684539221e-001	9.965971e-001	6.310366e-003
1.329095418914221e-001	9.950641e-001	7.187440e-003
1.345574911101721e-001	9.927962e-001	8.419033e-003
1.376092489226721e-001	9.874724e-001	1.083791e-002
1.391046102507971e-001	9.843331e-001	1.183936e-002
1.405084188445471e-001	9.810688e-001	1.255498e-002
1.416070516570471e-001	9.782985e-001	1.295530e-002
1.430718954070471e-001	9.743147e-001	1.330554e-002
1.450250204070471e-001	9.684958e-001	1.353676e-002
1.479547079070471e-001	9.586748e-001	1.359712e-002
1.538140829070471e-001	9.351503e-001	1.334882e-002
1.640679891570471e-001	8.818805e-001	1.259806e-002
1.752984579070471e-001	8.067992e-001	1.152570e-002
1.865289266570471e-001	7.156759e-001	1.022394e-002
1.977593954070471e-001	6.103224e-001	8.718892e-003
2.089898641570471e-001	4.928336e-001	7.040479e-003
2.177789266570471e-001	3.939250e-001	5.627499e-003
2.290093954070471e-001	2.607251e-001	3.724644e-003
2.397515829070471e-001	1.284285e-001	1.834693e-003
2.495172079070471e-001	6.066850e-003	8.666929e-005
2.514703329070471e-001	-1.847552e-002	-2.639361e-004
2.622125204070471e-001	-1.528639e-001	-2.183770e-003
2.729547079070471e-001	-2.844710e-001	-4.063871e-003
2.841851766570471e-001	-4.164883e-001	-5.949833e-003
2.954156454070471e-001	-5.402244e-001	-7.717492e-003
3.066461141570471e-001	-6.532189e-001	-9.331699e-003
3.178765829070471e-001	-7.532251e-001	-1.076035e-002
3.291070516570471e-001	-8.382545e-001	-1.197488e-002
