time	V(n001)	-I(V1)
Step Information: X=1  (Run: 1/5)
0.000000000000000e+000	0.000000e+000	0.000000e+000
1.081420097034425e-002	6.789471e-002	3.406455e-005
2.253295097034425e-002	1.411049e-001	7.162270e-005
3.327513847034425e-002	2.075521e-001	1.073211e-004
4.304076347034425e-002	2.671463e-001	1.415395e-004
5.280638847034425e-002	3.257351e-001	1.783324e-004
6.159545097034425e-002	3.774229e-001	2.146873e-004
6.940795097034425e-002	4.224065e-001	2.507222e-004
7.624388847034425e-002	4.609360e-001	2.862928e-004
8.307982597034425e-002	4.986152e-001	3.271315e-004
8.893920097034425e-002	5.301823e-001	3.679497e-004
9.382201347034425e-002	5.559412e-001	4.075888e-004
9.870482597034425e-002	5.811768e-001	4.541744e-004
1.026110759703443e-001	6.009725e-001	4.981330e-004
1.065173259703443e-001	6.204063e-001	5.500661e-004
1.094470134703443e-001	6.347370e-001	5.958655e-004
1.123767009703443e-001	6.488526e-001	6.493139e-004
1.153063884703443e-001	6.627485e-001	7.126791e-004
1.182360759703443e-001	6.764197e-001	7.891873e-004
1.201892009703443e-001	6.854067e-001	8.497463e-004
1.221423259703443e-001	6.942906e-001	9.201597e-004
1.240954509703443e-001	7.030700e-001	1.003064e-003
1.260485759703443e-001	7.117434e-001	1.102085e-003
1.270251384703443e-001	7.160400e-001	1.159159e-003
1.280017009703443e-001	7.203096e-001	1.222335e-003
1.289782634703443e-001	7.245522e-001	1.292613e-003
1.299548259703443e-001	7.287675e-001	1.371217e-003
1.309313884703443e-001	7.329552e-001	1.459652e-003
1.319079509703443e-001	7.371155e-001	1.559786e-003
1.328845134703443e-001	7.412480e-001	1.673959e-003
1.338610759703443e-001	7.453525e-001	1.805126e-003
1.348376384703443e-001	7.494290e-001	1.957057e-003
1.358142009703443e-001	7.534773e-001	2.134601e-003
1.367907634703443e-001	7.574972e-001	2.344039e-003
1.377673259703443e-001	7.614886e-001	2.593547e-003
1.388659587828443e-001	7.659516e-001	2.919645e-003
1.397204509703443e-001	7.693923e-001	3.238990e-003
1.405749431578443e-001	7.728106e-001	3.620181e-003
1.414294353453443e-001	7.762069e-001	4.077015e-003
1.422839275328443e-001	7.795806e-001	4.624424e-003
1.430163494078443e-001	7.824547e-001	5.175331e-003
1.438708415953443e-001	7.857867e-001	5.921421e-003
1.448474040953443e-001	7.895668e-001	6.897188e-003
1.468005290953443e-001	7.970380e-001	8.970439e-003
1.477160564390943e-001	8.004990e-001	9.800353e-003
1.486926189390943e-001	8.041611e-001	1.048106e-002
1.497912517515943e-001	8.082444e-001	1.099621e-002
1.512560955015943e-001	8.136231e-001	1.138142e-002
1.532092205015943e-001	8.206962e-001	1.165635e-002
1.590685955015943e-001	8.411698e-001	1.201546e-002
1.805529705015943e-001	9.062924e-001	1.294703e-002
2.030139080015943e-001	9.567285e-001	1.366755e-002
2.254748455015943e-001	9.881414e-001	1.411631e-002
2.479357830015943e-001	9.999065e-001	1.428438e-002
2.703967205015943e-001	9.917899e-001	1.416843e-002
2.928576580015943e-001	9.639529e-001	1.377076e-002
3.153185955015943e-001	9.169492e-001	1.309927e-002
3.377795330015943e-001	8.517131e-001	1.216733e-002
3.602404705015943e-001	7.695420e-001	1.099346e-002
3.827014080015943e-001	6.720697e-001	9.600995e-003
4.051623455015943e-001	5.612341e-001	8.017630e-003
4.276232830015943e-001	4.392393e-001	6.274847e-003
4.500842205015943e-001	3.085108e-001	4.407297e-003
4.715685955015943e-001	1.776895e-001	2.538421e-003
4.930529705015943e-001	4.363520e-002	6.233600e-004
5.008654705015943e-001	-5.437834e-003	-7.768334e-005
5.184435955015943e-001	-1.156242e-001	-1.651775e-003
5.399279705015943e-001	-2.482492e-001	-3.546417e-003
5.623889080015943e-001	-3.820349e-001	-5.457641e-003
5.838732830015943e-001	-5.029305e-001	-7.183956e-003
5.926623455015943e-001	-5.498699e-001	-7.819491e-003
5.955920330015943e-001	-5.651508e-001	-7.938188e-003
5.975451580015943e-001	-5.752320e-001	-7.893963e-003
5.985217205015943e-001	-5.802401e-001	-7.797000e-003
5.994982830015943e-001	-5.852265e-001	-7.626457e-003
6.005969158140943e-001	-5.908152e-001	-7.350976e-003
6.016955486265943e-001	-5.963699e-001	-6.924486e-003
6.025500408140943e-001	-6.006709e-001	-6.514304e-003
6.042590251890943e-001	-6.092210e-001	-5.568605e-003
6.059680095640943e-001	-6.177008e-001	-4.623559e-003
6.068225017515943e-001	-6.219141e-001	-4.198180e-003
6.076769939390943e-001	-6.261095e-001	-3.815100e-003
6.085314861265943e-001	-6.302867e-001	-3.475394e-003
6.090197673765943e-001	-6.326634e-001	-3.304809e-003
6.099963298765943e-001	-6.374002e-001	-2.997006e-003
6.109728923765943e-001	-6.421161e-001	-2.727262e-003
6.119494548765943e-001	-6.468077e-001	-2.495652e-003
6.129260173765943e-001	-6.514750e-001	-2.296259e-003
6.139025798765943e-001	-6.561178e-001	-2.123893e-003
6.148791423765943e-001	-6.607358e-001	-1.974153e-003
6.158557048765943e-001	-6.653290e-001	-1.843376e-003
6.168322673765943e-001	-6.698972e-001	-1.728540e-003
6.178088298765943e-001	-6.744401e-001	-1.627164e-003
6.187853923765943e-001	-6.789576e-001	-1.537205e-003
6.197619548765943e-001	-6.834496e-001	-1.456984e-003
6.207385173765943e-001	-6.879158e-001	-1.385109e-003
6.226916423765943e-001	-6.967704e-001	-1.261981e-003
6.246447673765943e-001	-7.055202e-001	-1.160682e-003
6.265978923765943e-001	-7.141635e-001	-1.076153e-003
6.285510173765943e-001	-7.226995e-001	-1.004734e-003
6.314807048765943e-001	-7.352988e-001	-9.164768e-004
6.344103923765943e-001	-7.476490e-001	-8.453402e-004
6.373400798765943e-001	-7.597458e-001	-7.869789e-004
6.412463298765943e-001	-7.754739e-001	-7.239566e-004
6.451525798765943e-001	-7.907348e-001	-6.734952e-004
6.500353923765943e-001	-8.091401e-001	-6.232445e-004
6.549182048765943e-001	-8.267838e-001	-5.834160e-004
6.607775798765943e-001	-8.469278e-001	-5.455634e-004
6.676135173765943e-001	-8.689765e-001	-5.112626e-004
6.754260173765943e-001	-8.922101e-001	-4.812354e-004
6.851916423765943e-001	-9.182236e-001	-4.531547e-004
6.969103923765943e-001	-9.448700e-001	-4.286557e-004
7.115588298765943e-001	-9.709633e-001	-4.068439e-004
7.320666423765943e-001	-9.936491e-001	-3.853925e-004
7.545275798765943e-001	-9.995860e-001	-3.672049e-004
7.769885173765943e-001	-9.856475e-001	-3.499277e-004
7.906603923765943e-001	-9.675338e-001	-3.386390e-004
8.131213298765943e-001	-9.223698e-001	-3.176325e-004
8.355822673765943e-001	-8.588659e-001	-2.927421e-004
8.580432048765943e-001	-7.782845e-001	-2.635485e-004
8.805041423765943e-001	-6.822281e-001	-2.300564e-004
9.029650798765943e-001	-5.726066e-001	-1.925714e-004
9.254260173765943e-001	-4.515996e-001	-1.516143e-004
9.478869548765943e-001	-3.216132e-001	-1.078582e-004
9.703478923765943e-001	-1.852320e-001	-6.208233e-005
9.918322673765943e-001	-5.129637e-002	-1.718812e-005
9.996447673765943e-001	-2.231978e-003	-7.478642e-007
1.000000000000000e+000	-2.449213e-016	-8.206522e-020
Step Information: X=2  (Run: 2/5)
0.000000000000000e+000	0.000000e+000	0.000000e+000
1.279999963799128e-007	1.608495e-006	8.042477e-010
8.825069235172123e-003	1.106709e-001	5.558832e-005
1.859069423517212e-002	2.314961e-001	1.181527e-004
2.737975673517212e-002	3.373127e-001	1.765849e-004
3.568053798517212e-002	4.334975e-001	2.350778e-004
4.300475673517212e-002	5.144860e-001	2.910200e-004
4.935241298517212e-002	5.811768e-001	3.445664e-004
5.521178798517212e-002	6.394663e-001	4.002089e-004
6.009460048517212e-002	6.854067e-001	4.531546e-004
6.448913173517212e-002	7.245522e-001	5.080291e-004
6.839538173517212e-002	7.574972e-001	5.647474e-004
7.181335048517212e-002	7.848297e-001	6.227313e-004
7.523131923517212e-002	8.107145e-001	6.913252e-004
7.816100673517212e-002	8.317131e-001	7.615587e-004
8.060241298517212e-002	8.483520e-001	8.309198e-004
8.304381923517212e-002	8.641925e-001	9.133918e-004
8.499694423517212e-002	8.762800e-001	9.917492e-004
8.695006923517212e-002	8.878396e-001	1.084557e-003
8.890319423517212e-002	8.988644e-001	1.196375e-003
9.036803798517212e-002	9.067780e-001	1.296580e-003
9.183288173517212e-002	9.143844e-001	1.415045e-003
9.329772548517212e-002	9.216810e-001	1.557179e-003
9.476256923517212e-002	9.286653e-001	1.730631e-003
9.573913173517212e-002	9.331468e-001	1.868954e-003
9.671569423517212e-002	9.374877e-001	2.030551e-003
9.769225673517212e-002	9.416875e-001	2.221417e-003
9.866881923517212e-002	9.457455e-001	2.449595e-003
9.915710048517212e-002	9.477211e-001	2.580953e-003
9.964538173517212e-002	9.496611e-001	2.726027e-003
1.001336629851721e-001	9.515653e-001	2.886835e-003
1.006219442351721e-001	9.534336e-001	3.065753e-003
1.011102254851721e-001	9.552661e-001	3.265575e-003
1.015985067351721e-001	9.570626e-001	3.489583e-003
1.020867879851721e-001	9.588231e-001	3.741619e-003
1.025750692351721e-001	9.605474e-001	4.026140e-003
1.032464559539221e-001	9.628673e-001	4.469920e-003
1.036737020476721e-001	9.643028e-001	4.801327e-003
1.041009481414221e-001	9.657106e-001	5.171752e-003
1.045281942351721e-001	9.670905e-001	5.585386e-003
1.049554403289221e-001	9.684426e-001	6.045987e-003
1.053826864226721e-001	9.697668e-001	6.556232e-003
1.060540731414221e-001	9.717922e-001	7.457376e-003
1.069696004851721e-001	9.744408e-001	8.857412e-003
1.082513387664221e-001	9.779326e-001	1.088616e-002
1.090142782195471e-001	9.798898e-001	1.191629e-002
1.096856649382971e-001	9.815388e-001	1.262952e-002
1.098687704070471e-001	9.819757e-001	1.278836e-002
1.106011922820471e-001	9.836656e-001	1.328189e-002
1.115777547820471e-001	9.857998e-001	1.370409e-002
1.130425985320471e-001	9.887227e-001	1.400180e-002
1.159722860320471e-001	9.935626e-001	1.418180e-002
