time	V(n001)	-I(V1)
Step Information: X=1  (Run: 1/5)
0.000000000000000e+000	0.000000e+000	0.000000e+000
9.999999717180685e-010	6.283185e-009	1.413717e-003
1.999999943436137e-009	1.256637e-008	1.884956e-003
2.057982597034425e-002	1.289456e-001	1.869207e-003
4.304076347034425e-002	2.671463e-001	1.816436e-003
6.550170097034425e-002	4.000352e-001	1.727547e-003
8.796263847034425e-002	5.249699e-001	1.604309e-003
1.104235759703443e-001	6.394663e-001	1.449171e-003
1.328845134703443e-001	7.412480e-001	1.265219e-003
1.553454509703443e-001	8.282908e-001	1.056109e-003
1.778063884703443e-001	8.988644e-001	8.260004e-004
2.002673259703443e-001	9.515653e-001	5.794677e-004
2.217517009703443e-001	9.842808e-001	3.328036e-004
2.432360759703443e-001	9.990876e-001	8.008409e-005
2.510485759703443e-001	9.999689e-001	-1.241867e-005
2.715563884703443e-001	9.908323e-001	-2.545222e-004
2.725329509703443e-001	9.899851e-001	-2.659773e-004
2.940173259703443e-001	9.619889e-001	-5.146965e-004
3.164782634703443e-001	9.140177e-001	-7.646367e-004
3.389392009703443e-001	8.478726e-001	-9.993733e-004
3.614001384703443e-001	7.648687e-001	-1.214239e-003
3.838610759703443e-001	6.666565e-001	-1.404961e-003
4.063220134703443e-001	5.551888e-001	-1.567747e-003
4.287829509703443e-001	4.326819e-001	-1.699361e-003
4.512438884703443e-001	3.015717e-001	-1.797186e-003
4.737048259703443e-001	1.644653e-001	-1.859276e-003
4.951892009703443e-001	3.022225e-002	-1.884083e-003
5.098376384703443e-001	-6.177177e-002	-1.881344e-003
5.322985759703443e-001	-2.015460e-001	-1.846262e-003
5.547595134703443e-001	-3.373127e-001	-1.774470e-003
5.655017009703443e-001	-4.000352e-001	-1.727547e-003
5.879626384703443e-001	-5.249699e-001	-1.604309e-003
6.104235759703443e-001	-6.394663e-001	-1.449171e-003
6.328845134703443e-001	-7.412480e-001	-1.265219e-003
6.553454509703443e-001	-8.282908e-001	-1.056109e-003
6.778063884703443e-001	-8.988644e-001	-8.260004e-004
7.002673259703443e-001	-9.515653e-001	-5.794677e-004
7.217517009703443e-001	-9.842808e-001	-3.328036e-004
7.432360759703443e-001	-9.990876e-001	-8.008409e-005
7.510485759703443e-001	-9.999689e-001	1.241867e-005
7.715563884703443e-001	-9.908323e-001	2.545222e-004
7.930407634703443e-001	-9.636462e-001	5.035605e-004
8.155017009703443e-001	-9.164895e-001	7.540509e-004
8.379626384703443e-001	-8.511097e-001	9.895480e-004
8.584704509703443e-001	-7.765962e-001	1.187495e-003
8.809313884703443e-001	-6.802630e-001	1.381592e-003
9.033923259703443e-001	-5.704038e-001	1.548219e-003
9.258532634703443e-001	-4.492029e-001	1.684061e-003
9.483142009703443e-001	-3.190702e-001	1.786418e-003
9.707751384703443e-001	-1.825933e-001	1.853255e-003
9.922595134703443e-001	-4.861528e-002	1.882715e-003
9.990954509703443e-001	-5.683368e-003	1.884914e-003
1.000000000000000e+000	-2.449213e-016	1.884963e-003
Step Information: X=2  (Run: 2/5)
0.000000000000000e+000	0.000000e+000	0.000000e+000
9.999999717180685e-010	1.256637e-008	2.827433e-003
1.999999943436137e-009	2.513274e-008	3.769911e-003
1.028991298517212e-002	1.289456e-001	3.738414e-003
2.152038173517212e-002	2.671463e-001	3.632872e-003
3.275085048517212e-002	4.000352e-001	3.455095e-003
4.398131923517212e-002	5.249699e-001	3.208618e-003
5.521178798517212e-002	6.394663e-001	2.898342e-003
6.644225673517212e-002	7.412480e-001	2.530437e-003
7.767272548517212e-002	8.282908e-001	2.112218e-003
8.890319423517212e-002	8.988644e-001	1.652001e-003
1.001336629851721e-001	9.515653e-001	1.158935e-003
1.108758504851721e-001	9.842808e-001	6.656071e-004
1.216180379851721e-001	9.990876e-001	1.601682e-004
1.250360067351721e-001	9.999905e-001	-1.705776e-006
1.348016317351721e-001	9.924147e-001	-4.631674e-004
1.362664754851721e-001	9.899851e-001	-5.319545e-004
1.470086629851721e-001	9.619889e-001	-1.029393e-003
1.582391317351721e-001	9.140177e-001	-1.529273e-003
1.694696004851721e-001	8.478726e-001	-1.998747e-003
1.807000692351721e-001	7.648687e-001	-2.428477e-003
1.919305379851721e-001	6.666565e-001	-2.809922e-003
2.031610067351721e-001	5.551888e-001	-3.135494e-003
2.143914754851721e-001	4.326819e-001	-3.398722e-003
2.256219442351721e-001	3.015717e-001	-3.594371e-003
2.368524129851721e-001	1.644653e-001	-3.718551e-003
2.475946004851721e-001	3.022225e-002	-3.768165e-003
2.549188192351721e-001	-6.177177e-002	-3.762688e-003
2.661492879851721e-001	-2.015460e-001	-3.692525e-003
2.773797567351721e-001	-3.373127e-001	-3.548940e-003
2.827508504851721e-001	-4.000352e-001	-3.455095e-003
2.939813192351721e-001	-5.249699e-001	-3.208618e-003
3.052117879851721e-001	-6.394663e-001	-2.898342e-003
3.164422567351721e-001	-7.412480e-001	-2.530438e-003
3.276727254851721e-001	-8.282908e-001	-2.112218e-003
3.389031942351721e-001	-8.988644e-001	-1.652001e-003
3.501336629851721e-001	-9.515653e-001	-1.158935e-003
3.608758504851721e-001	-9.842808e-001	-6.656071e-004
3.716180379851721e-001	-9.990876e-001	-1.601682e-004
3.750360067351721e-001	-9.999905e-001	1.705776e-006
3.848016317351721e-001	-9.924147e-001	4.631674e-004
3.955438192351721e-001	-9.668519e-001	9.624642e-004
4.067742879851721e-001	-9.213296e-001	1.465589e-003
4.180047567351721e-001	-8.574878e-001	1.939572e-003
4.292352254851721e-001	-7.765962e-001	2.374990e-003
4.404656942351721e-001	-6.802630e-001	2.763185e-003
4.516961629851721e-001	-5.704038e-001	3.096437e-003
4.629266317351721e-001	-4.492029e-001	3.368122e-003
4.741571004851721e-001	-3.190702e-001	3.572836e-003
4.853875692351721e-001	-1.825933e-001	3.706509e-003
4.961297567351721e-001	-4.861528e-002	3.765430e-003
4.995477254851721e-001	-5.683368e-003	3.769828e-003
5.000000000000000e-001	-2.449213e-016	3.769926e-003
Step Information: X=3  (Run: 3/5)
0.000000000000000e+000	0.000000e+000	0.000000e+000
9.999999717180685e-010	3.141593e-008	7.068583e-003
1.999999943436137e-009	6.283185e-008	9.424778e-003
4.168393992586063e-003	1.305788e-001	9.344023e-003
8.660581492586063e-003	2.687331e-001	9.078020e-003
1.315276899258605e-002	4.015442e-001	8.631516e-003
1.764495649258603e-002	5.263711e-001	8.013385e-003
2.213714399258602e-002	6.407318e-001	7.235920e-003
2.662933149258600e-002	7.423525e-001	6.314578e-003
3.112151899258598e-002	8.292125e-001	5.267681e-003
3.561370649258604e-002	8.995849e-001	4.116043e-003
4.010589399258611e-002	9.520704e-001	2.882563e-003
4.440276899258617e-002	9.845703e-001	1.648736e-003
4.869964399258623e-002	9.991562e-001	3.849105e-004
5.162933149258627e-002	9.986808e-001	-4.822121e-004
5.475433149258632e-002	9.888570e-001	-1.402464e-003
5.905120649258638e-002	9.598346e-001	-2.643969e-003
6.354339399258643e-002	9.108328e-001	-3.890113e-003
6.803558149258650e-002	8.437205e-001	-5.058909e-003
7.252776899258656e-002	7.598320e-001	-6.127115e-003
7.701995649258663e-002	6.608353e-001	-7.073492e-003
8.151214399258669e-002	5.486988e-001	-7.879223e-003
8.600433149258675e-002	4.256521e-001	-8.528287e-003
9.049651899258682e-002	2.941421e-001	-9.007777e-003
9.498870649258688e-002	1.567834e-001	-9.308161e-003
9.928558149258694e-002	2.244202e-002	-9.422345e-003
1.022152689925870e-001	-6.953791e-002	-9.401904e-003
1.067074564925871e-001	-2.091630e-001	-9.216247e-003
1.111996439925871e-001	-3.446292e-001	-8.847339e-003
1.133480814925871e-001	-4.071560e-001	-8.608133e-003
1.178402689925872e-001	-5.315781e-001	-7.982794e-003
1.223324564925873e-001	-6.454306e-001	-7.198730e-003
1.268246439925872e-001	-7.464495e-001	-6.271530e-003
1.313168314925869e-001	-8.326264e-001	-5.219629e-003
1.358090189925867e-001	-9.022477e-001	-4.063942e-003
1.403012064925864e-001	-9.539291e-001	-2.827451e-003
1.445980814925862e-001	-9.856251e-001	-1.591768e-003
1.488949564925859e-001	-9.993880e-001	-3.271225e-004
1.514340189925858e-001	-9.989760e-001	4.244497e-004
1.557308939925856e-001	-9.838270e-001	1.687687e-003
1.600277689925853e-001	-9.507776e-001	2.920217e-003
1.645199564925851e-001	-8.977431e-001	4.151609e-003
1.690121439925848e-001	-8.268583e-001	5.300451e-003
1.719418314925846e-001	-7.716695e-001	5.994261e-003
1.764340189925844e-001	-6.745379e-001	6.957652e-003
1.809262064925841e-001	-5.639940e-001	7.782700e-003
1.854183939925839e-001	-4.422359e-001	8.452999e-003
1.899105814925836e-001	-3.116845e-001	8.955223e-003
1.944027689925834e-001	-1.749358e-001	9.279385e-003
1.986996439925831e-001	-4.084014e-002	9.416856e-003
1.998715189925830e-001	-4.036310e-003	9.424662e-003
2.000000000000000e-001	-2.449213e-016	9.424782e-003
Step Information: X=4  (Run: 4/5)
0.000000000000000e+000	0.000000e+000	0.000000e+000
9.765624975344167e-010	6.135923e-008	1.413717e-002
1.953124995068833e-009	1.227185e-007	1.884956e-002
2.081124999676832e-003	1.303874e-001	1.868852e-002
4.327218749676832e-003	2.685472e-001	1.815702e-002
6.573312499676824e-003	4.013674e-001	1.726449e-002
8.819406249676816e-003	5.262069e-001	1.602869e-002
1.106549999967681e-002	6.405836e-001	1.447417e-002
1.331159374967680e-002	7.422231e-001	1.263186e-002
1.555768749967679e-002	8.291047e-001	1.053838e-002
1.780378124967682e-002	8.995006e-001	8.235359e-003
2.004987499967685e-002	9.520112e-001	5.768590e-003
2.219831249967688e-002	9.845365e-001	3.301054e-003
2.434674999967692e-002	9.991484e-001	7.734562e-004
2.581159374967694e-002	9.986907e-001	-9.607906e-004
2.747174999967696e-002	9.879552e-001	-2.915651e-003
2.962018749967699e-002	9.581505e-001	-5.395366e-003
3.186628124967702e-002	9.083638e-001	-7.882122e-003
3.411237499967705e-002	8.405157e-001	-1.021215e-002
