time	V(n001)	-I(V1)
Step Information: X=1  (Run: 1/5)
0.000000000000000e+000	-2.449213e-016	9.990362e-004
1.933227208747879e-005	1.211506e-001	1.012700e-003
3.533227208747918e-005	2.201454e-001	1.040025e-003
5.133227208747957e-005	3.169172e-001	1.083024e-003
6.733227208747996e-005	4.104888e-001	1.141262e-003
8.733227208748045e-005	5.215173e-001	1.234581e-003
1.073322720874809e-004	6.243212e-001	1.349309e-003
1.273322720874814e-004	7.172792e-001	1.483639e-003
1.473322720874819e-004	7.989253e-001	1.635451e-003
1.673322720874824e-004	8.679718e-001	1.802351e-003
1.873322720874829e-004	9.233299e-001	1.981707e-003
2.073322720874834e-004	9.641265e-001	2.170691e-003
2.273322720874839e-004	9.897183e-001	2.366323e-003
2.473322720874843e-004	9.997016e-001	2.565516e-003
2.673322720874848e-004	9.939191e-001	2.765130e-003
2.873322720874853e-004	9.724618e-001	2.962016e-003
3.073322720874858e-004	9.356682e-001	3.153070e-003
3.273322720874863e-004	8.841186e-001	3.335278e-003
3.473322720874868e-004	8.186259e-001	3.505767e-003
3.673322720874873e-004	7.402231e-001	3.661849e-003
3.873322720874877e-004	6.501464e-001	3.801061e-003
4.073322720874882e-004	5.498165e-001	3.921208e-003
4.273322720874887e-004	4.408157e-001	4.020396e-003
4.473322720874892e-004	3.248630e-001	4.097060e-003
4.673322720874897e-004	2.037870e-001	4.149991e-003
4.873322720874902e-004	7.949711e-002	4.178355e-003
5.033322720874906e-004	-2.093245e-002	4.183043e-003
5.233322720874910e-004	-1.460534e-001	4.166322e-003
5.433322720874915e-004	-2.688709e-001	4.124776e-003
5.633322720874920e-004	-3.874483e-001	4.059060e-003
5.833322720874925e-004	-4.999153e-001	3.970211e-003
6.033322720874930e-004	-6.044983e-001	3.859629e-003
6.233322720874935e-004	-6.995481e-001	3.729059e-003
6.433322720874940e-004	-7.835656e-001	3.580559e-003
6.633322720874945e-004	-8.552257e-001	3.416472e-003
6.833322720874949e-004	-9.133985e-001	3.239385e-003
7.033322720874954e-004	-9.571664e-001	3.052091e-003
7.233322720874959e-004	-9.858392e-001	2.857544e-003
7.433322720874964e-004	-9.989648e-001	2.658812e-003
7.633322720874969e-004	-9.963360e-001	2.459029e-003
7.833322720874974e-004	-9.779946e-001	2.261346e-003
8.033322720874979e-004	-9.442294e-001	2.068880e-003
8.233322720874983e-004	-8.955733e-001	1.884666e-003
8.433322720874988e-004	-8.327934e-001	1.711610e-003
8.633322720874993e-004	-7.568799e-001	1.552442e-003
8.833322720874998e-004	-6.690299e-001	1.409670e-003
9.033322720875003e-004	-5.706289e-001	1.285547e-003
9.233322720875008e-004	-4.632288e-001	1.182030e-003
9.433322720875013e-004	-3.485233e-001	1.100752e-003
9.593322720875016e-004	-2.527114e-001	1.052615e-003
9.753322720875020e-004	-1.543477e-001	1.020024e-003
9.913322720875024e-004	-5.442543e-002	1.003309e-003
9.993322720875026e-004	-4.195151e-003	1.000755e-003
1.000000000000000e-003	0.000000e+000	1.000699e-003
