time	V(n001)	I(I1)
Step Information: X=1  (Run: 1/5)
0.000000000000000e+000	8.515030e-001	-4.898425e-020
3.650000000007481e-003	8.793443e-001	2.293161e-006
6.750000000014023e-003	9.057530e-001	4.239878e-006
9.450000000019720e-003	9.310941e-001	5.934121e-006
1.185000000002479e-002	9.556463e-001	7.438696e-006
1.405000000002943e-002	9.799798e-001	8.816412e-006
1.605000000003365e-002	1.003734e+000	1.006743e-005
1.795000000003766e-002	1.027835e+000	1.125442e-005
1.975000000004146e-002	1.052125e+000	1.237747e-005
2.145000000004504e-002	1.076432e+000	1.343667e-005
2.305000000004842e-002	1.100572e+000	1.443216e-005
2.455000000005159e-002	1.124357e+000	1.536412e-005
2.605000000005475e-002	1.149292e+000	1.629471e-005
2.755000000005792e-002	1.175408e+000	1.722386e-005
2.895000000006087e-002	1.200875e+000	1.808968e-005
2.965000000006235e-002	1.214010e+000	1.852207e-005
3.105000000006530e-002	1.241097e+000	1.938577e-005
3.255000000006847e-002	1.271342e+000	2.030949e-005
3.405000000007163e-002	1.302871e+000	2.123141e-005
3.555000000007480e-002	1.335699e+000	2.215144e-005
3.715000000007818e-002	1.372162e+000	2.313064e-005
3.885000000008176e-002	1.412554e+000	2.416848e-005
4.075000000008577e-002	1.459723e+000	2.532514e-005
4.285000000009021e-002	1.514357e+000	2.659935e-005
4.535000000009548e-002	1.582828e+000	2.811022e-005
4.845000000010202e-002	1.672917e+000	2.997402e-005
5.285000000011131e-002	1.810622e+000	3.259971e-005
5.965000000012566e-002	2.045972e+000	3.660789e-005
6.475000000013642e-002	2.240229e+000	3.957058e-005
6.755000000014233e-002	2.353254e+000	4.118006e-005
6.945000000014634e-002	2.432487e+000	4.226499e-005
7.085000000014929e-002	2.492165e+000	4.306056e-005
7.195000000015162e-002	2.539815e+000	4.368331e-005
7.295000000015373e-002	2.583703e+000	4.424765e-005
7.375000000015541e-002	2.619197e+000	4.469786e-005
7.445000000015689e-002	2.650528e+000	4.509087e-005
7.515000000015837e-002	2.682107e+000	4.548300e-005
7.575000000015963e-002	2.709368e+000	4.581842e-005
7.635000000016090e-002	2.736798e+000	4.615318e-005
7.685000000016196e-002	2.759781e+000	4.643165e-005
7.735000000016301e-002	2.782871e+000	4.670966e-005
7.785000000016407e-002	2.806062e+000	4.698721e-005
7.835000000016512e-002	2.829346e+000	4.726430e-005
7.875000000016597e-002	2.848033e+000	4.748564e-005
7.915000000016681e-002	2.866768e+000	4.770667e-005
7.955000000016765e-002	2.885545e+000	4.792740e-005
7.995000000016850e-002	2.904354e+000	4.814783e-005
8.035000000016934e-002	2.923188e+000	4.836796e-005
8.075000000017019e-002	2.942037e+000	4.858778e-005
8.115000000017103e-002	2.960888e+000	4.880729e-005
8.155000000017187e-002	2.979728e+000	4.902649e-005
8.195000000017272e-002	2.998543e+000	4.924539e-005
8.235000000017356e-002	3.017313e+000	4.946398e-005
8.275000000017441e-002	3.036020e+000	4.968225e-005
8.315000000017525e-002	3.054639e+000	4.990021e-005
8.355000000017610e-002	3.073146e+000	5.011785e-005
8.395000000017694e-002	3.091510e+000	5.033517e-005
8.435000000017778e-002	3.109699e+000	5.055218e-005
8.475000000017863e-002	3.127676e+000	5.076887e-005
8.515000000017947e-002	3.145402e+000	5.098524e-005
8.555000000018032e-002	3.162833e+000	5.120128e-005
8.595000000018116e-002	3.179921e+000	5.141701e-005
8.645000000018221e-002	3.200722e+000	5.168620e-005
8.695000000018327e-002	3.220807e+000	5.195489e-005
8.745000000018433e-002	3.240070e+000	5.222306e-005
8.805000000018559e-002	3.261956e+000	5.254419e-005
8.875000000018707e-002	3.285585e+000	5.291789e-005
8.965000000018897e-002	3.312628e+000	5.339687e-005
