time	V(n001)	I(C1)
Step Information: X=1  (Run: 1/5)
0.000000000000000e+000	5.000000e-001	0.000000e+000
1.750000000000043e-003	5.048137e-001	5.486661e-006
3.550000000000095e-003	5.197217e-001	1.106030e-005
5.350000000000146e-003	5.445458e-001	1.649261e-005
7.250000000000201e-003	5.811540e-001	2.199674e-005
9.350000000000261e-003	6.334248e-001	2.771290e-005
1.155000000000032e-002	7.005169e-001	3.318293e-005
1.375000000000039e-002	7.789648e-001	3.801992e-005
1.595000000000045e-002	8.672718e-001	4.213161e-005
1.815000000000051e-002	9.637534e-001	4.543953e-005
2.035000000000058e-002	1.066569e+000	4.788061e-005
2.255000000000064e-002	1.173757e+000	4.940826e-005
2.475000000000070e-002	1.283273e+000	4.999334e-005
2.695000000000050e-002	1.393027e+000	4.962469e-005
2.915000000000026e-002	1.500926e+000	4.830934e-005
2.965000000000020e-002	1.524976e+000	4.788061e-005
3.184999999999996e-002	1.627791e+000	4.543953e-005
3.404999999999972e-002	1.724273e+000	4.213161e-005
3.624999999999948e-002	1.812580e+000	3.801992e-005
3.844999999999924e-002	1.891028e+000	3.318293e-005
4.064999999999899e-002	1.958120e+000	2.771290e-005
4.284999999999875e-002	2.012576e+000	2.171419e-005
4.504999999999851e-002	2.053358e+000	1.530123e-005
4.724999999999827e-002	2.079687e+000	8.596370e-006
4.944999999999802e-002	2.091061e+000	1.727515e-006
5.134999999999781e-002	2.088675e+000	-4.236024e-006
5.354999999999757e-002	2.071823e+000	-1.106030e-005
5.574999999999733e-002	2.040165e+000	-1.767357e-005
5.794999999999709e-002	1.994307e+000	-2.394968e-005
5.964999999999690e-002	1.949689e+000	-2.849239e-005
6.184999999999666e-002	1.880968e+000	-3.388199e-005
6.404999999999642e-002	1.801083e+000	-3.862522e-005
6.624999999999617e-002	1.711558e+000	-4.263159e-005
6.844999999999593e-002	1.614101e+000	-4.582467e-005
7.064999999999569e-002	1.510571e+000	-4.814355e-005
7.284999999999545e-002	1.402944e+000	-4.954398e-005
7.504999999999520e-002	1.293272e+000	-4.999926e-005
7.724999999999496e-002	1.183648e+000	-4.950069e-005
7.944999999999472e-002	1.076163e+000	-4.805780e-005
8.164999999999448e-002	9.728672e-001	-4.569809e-005
8.384999999999424e-002	8.757317e-001	-4.246660e-005
8.604999999999399e-002	7.866093e-001	-3.842497e-005
8.824999999999375e-002	7.072003e-001	-3.365029e-005
8.964999999999360e-002	6.624264e-001	-3.027135e-005
9.174999999999337e-002	6.045464e-001	-2.477269e-005
9.374999999999314e-002	5.605820e-001	-1.913398e-005
9.564999999999294e-002	5.295464e-001	-1.349628e-005
9.744999999999274e-002	5.102001e-001	-7.976751e-006
9.924999999999254e-002	5.008914e-001	-2.355299e-006
9.994999999999246e-002	5.000080e-001	-1.570783e-007
1.000000000000000e-001	5.000002e-001	0.000000e+000
Step Information: X=2  (Run: 2/5)
0.000000000000000e+000	5.000000e-001	1.734723e-018
1.050000000000023e-003	5.034744e-001	6.577958e-006
2.150000000000055e-003	5.144492e-001	1.334457e-005
3.250000000000086e-003	5.327387e-001	1.985661e-005
4.350000000000118e-003	5.579941e-001	2.598984e-005
5.450000000000149e-003	5.897337e-001	3.162726e-005
6.550000000000181e-003	6.273518e-001	3.666132e-005
7.650000000000212e-003	6.701309e-001	4.099599e-005
8.750000000000244e-003	7.172549e-001	4.454857e-005
9.850000000000275e-003	7.678246e-001	4.725129e-005
1.095000000000031e-002	8.208756e-001	4.905259e-005
1.205000000000034e-002	8.753956e-001	4.991810e-005
1.315000000000037e-002	9.303446e-001	4.983133e-005
1.425000000000040e-002	9.846743e-001	4.879391e-005
1.535000000000043e-002	1.037348e+000	4.682565e-005
1.645000000000046e-002	1.087362e+000	4.396408e-005
1.755000000000050e-002	1.133760e+000	4.026380e-005
1.865000000000053e-002	1.175659e+000	3.579541e-005
1.975000000000056e-002	1.212259e+000	3.064414e-005
2.085000000000059e-002	1.242861e+000	2.490827e-005
2.195000000000062e-002	1.266882e+000	1.869722e-005
2.305000000000065e-002	1.283863e+000	1.212948e-005
2.415000000000069e-002	1.293481e+000	5.330347e-006
2.505000000000071e-002	1.295741e+000	-3.141448e-007
2.615000000000074e-002	1.291602e+000	-7.200255e-006
2.725000000000077e-002	1.279951e+000	-1.394900e-005
2.835000000000081e-002	1.261012e+000	-2.043165e-005
